teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,900,141,1041,258,783,28597,29380,18386,4205,961,2603,3224,,
20-49,20 à 49 salariés,64,10,74,57,17,10557,10574,7244,979,127,1199,1026,,
250-499,250 à 499 salariés,2032,158,2190,941,1249,25116,26365,16737,2746,2926,1278,2679,,
50-99,50 à 99 salariés,172,32,204,21,184,15155,15339,9785,1375,1113,1082,1984,,
500+,500 salariés et plus,1394,100,1494,421,1073,30951,32024,18141,2528,7070,1887,2398,,
_T,Total,4561,441,5002,1697,3306,110376,113682,70292,11833,12197,8049,11311,,
