reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,T1 Consommation d’électricité T1,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,,154.0,1482.0,,135.0,23.0,127,32,,1982.0,54,0,67,,23.0,37.0,186.0,228,1344.0,3741,122.0,172.0,3431
BFC,Bourgogne-Franche-Comté,,81.0,365.0,,,14.0,32,13,,521.0,4,0,30,,,,49.0,5.0,440.0,1073,0.0,0.0,1027
BRE,Bretagne,,0.0,107.0,,0,12.0,3,11,,132.0,1,,5,,0,,10.0,21,142.0,305,0,1,305
CVL,Centre-Val de Loire,,41.0,271.0,,36,10.0,5,10,,375.0,,0,27,,6,,35.0,,271.0,690,0,14,676
DOM,Départements d’Outre-mer,,0.0,9.0,,0,0.0,3,8,,21.0,,0,0,,0,,8.0,0,20.0,49,0,2,47
FRA,France,,5167.0,8539.0,,771,1506.0,763,252,,16999.0,1326,870,637,,236,390,3459.0,1307,7949.0,29714,270,917,28527
GRE,Grand Est,,841.0,1625.0,,46.0,15.0,15,25,,2920.0,,0,81,,8.0,63.0,529.0,113,1114.0,4677,52,87,4538
HDF,Hauts-de-France,,271.0,1214.0,,145,19.0,106,33,,3975.0,14.0,0,3.0,,,105.0,349.0,126.0,1532.0,6035,,,5990
IDF,Ile-de-France,,43.0,531.0,,6,6.0,11,11,,607.0,,0,0,,,0,4.0,24,416.0,1051,0,20,1031
NOA,Nouvelle-Aquitaine,,66.0,446.0,,63,24.0,146,28,,746.0,8,382.0,162,,25.0,38.0,626.0,173.0,596.0,2470,,,2274
NOR,Normandie,,0.0,1008.0,,,5.0,108,18,,1468.0,390.0,0,114,,,17.0,579.0,181,575.0,2803,16,89,2699
OCC,Occitanie,,74.0,317.0,,31.0,14.0,13,18,,247.0,,0.0,36.0,,9,36.0,52.0,35.0,331.0,1137,0.0,26.0,1105
PAC,Provence-Alpes-Côte d'Azur,,0.0,671.0,,104,967.0,161,18,,3007.0,241,,,,8,16,423.0,145,621.0,4196,,,3928
PAL,Pays de la Loire,,10.0,201.0,,61,36.0,3,17,,328.0,,0,37,,,,88.0,59,309.0,784,,,776
