reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,663.0,190,853.0,726.0,128,15500,15630,,,,,,,
BFC,Bourgogne-Franche-Comté,1.0,,1.0,0.0,1.0,5114,2069.0,,,,,,,
BRE,Bretagne,2.0,0,2.0,1.0,2,1650,1652,,,,,,,
CVL,Centre-Val de Loire,90.0,,90.0,68.0,,3149,,,,,,,,
DOM,Départements d’Outre-mer,3.0,0,3.0,1.0,3,233,236,,,,,,,
FRA,France,3774.0,469,4243.0,1942.0,2302,90127,92429,,,,,,,
GRE,Grand Est,511.0,99.0,610.0,358.0,260,12696,12956,,,,,,,
HDF,Hauts-de-France,110.0,0.0,110.0,50.0,130.0,17687,14733.0,,,,,,,
IDF,Ile-de-France,71.0,,71.0,27.0,45,4793,4837,,,,,,,
NOA,Nouvelle-Aquitaine,401.0,2,403.0,75.0,298.0,6626,4467.0,,,,,,,
NOR,Normandie,477.0,1,478.0,152.0,325,6357,6682,,,,,,,
OCC,Occitanie,315.0,67.0,382.0,144.0,262.0,3583,2312.0,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,723.0,0,723.0,27.0,695,6525,7220,,,,,,,
PAL,Pays de la Loire,71.0,,71.0,67.0,5,3593,3598,,,,,,,
