teff_code,teff_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
100-249,100 à 249 salariés,,539.0,599.0,111.0,601.1,33761.0,33761.0,940.0,65.1,,,,,,498,,144.7,,,,652.3,,,59.0,,57595,58344,40,0.7,,,,,,,,,9276,117,25.3,,,,,,,,19986,20230,,1243,62.2
20-49,20 à 49 salariés,,1.0,1.0,3.0,834.4000000000001,10036.0,10036.0,318.0,58.9,,,,,,48,,206.7,62,62,33,542.5,49,67,21.0,427.4,117076,117028,83,0.7,,,,,,,,,586,9,32.4,,,,,,,,7879,7910,,590,74.8
250-499,250 à 499 salariés,,166.0,652.0,103.0,510.5,25640.0,25640.0,732.0,62.1,,,,,37,38,16,445.5,584,593,396,678.7,,384,192.0,,26706,26861,19,0.7,,,,,,,,,11170,134,23.9,,,,,,,,22463,23473,,1298,57.8
50-99,50 à 99 salariés,,404.0,372.0,66.0,517.9000000000001,12674.0,12674.0,374.0,73.0,,,,,290,294,35,120.1,32,32,26,803.0,118,127,55.0,461.5,58770,58915,41,0.7,,,,,,,,,4044,61,30.1,,,,,,,,11474,11553,,754,65.7
500+,500 salariés et plus,,5566.0,5920.0,1090.0,2373.4,28080.0,28080.0,785.0,160.5,,,,,130,134,56,432.2,,2.0,1.0,1351.3000000000002,32.0,35.0,15.0,1330.5,35715,37160,24,2.1,,,,,,,,,11232,166,85.80000000000001,,,,,,,,28325,29263,,1522,166.4
_T,Total,,7353.0,8448.0,1256.0,542.4,110904.0,110904.0,3176.0,67.1,,,,,1005,1012,190,188.8,1365,1375,912,667.9,785,802,371.0,472.1,295861,298310,206,0.7,,,,,,,,,36308,488,26.9,,,,,,,,90127,92429,,5408,60.0
