reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,853.0,238.0,167.0,200.0,,,13,0.0,1,3.0,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,243.0,2.0,0.0,80.0,,,3,0.0,1,5.0,,,,,,,,,,,,,
BRE,Bretagne,75.0,0.0,,32.0,,,5,,1,,,,,,,,,,,,,,
CVL,Centre-Val de Loire,194.0,0.0,0.0,64.0,,,4,,,5,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,8.0,0,0,1.0,,,3,0,2,3,,,,,,,,,,,,,
FRA,France,5607.0,1372,333.0,1226.0,,,131,5,13,104,,,,,,,,,,,,,
GRE,Grand Est,960.0,435.0,21.0,145.0,,,12,2.0,1,5.0,,,,,,,,,,,,,
HDF,Hauts-de-France,976.0,5.0,15.0,199.0,,,18,0.0,0,5.0,,,,,,,,,,,,,
IDF,Ile-de-France,330.0,0.0,0.0,86.0,,,4,0,0,7,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,350.0,0.0,0.0,86.0,,,18,0.0,1,4.0,,,,,,,,,,,,,
NOR,Normandie,492.0,400.0,18.0,99.0,,,12,0,2,5,,,,,,,,,,,,,
OCC,Occitanie,256.0,0.0,0.0,43.0,,,11,0.0,1,2.0,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,489.0,,,79.0,,,14,,1,,,,,,,,,,,,,,
PAL,Pays de la Loire,131.0,0.0,0.0,66.0,,,8,,1,,,,,,,,,,,,,,
