reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,,252.0,246.0,69.0,1191.8,19246.0,19246.0,546.0,140.7,,,,,165.0,177.0,45.0,396.7,21,21,17,1631.5,133,133,64,967.6,7785.0,37116,5.0,1.4,,,,,,,,,6344,71,52.8,,,,,,,,15500,15630,,873,123.1
BFC,Bourgogne-Franche-Comté,,152.0,132.0,4.0,838.5,4734.0,4734.0,150.0,168.1,,,,,,,,252.70000000000002,12,12,10,1647.1999999999998,7.0,34,4.0,992.8,14888.0,14980,10.0,1.2999999999999998,,,,,,,,,142.0,23,30.3,,,,,,,,5114,2069.0,,335,132.2
BRE,Bretagne,,0.0,0.0,0.0,0.0,1386.0,1386.0,46.0,80.7,,,,,0,0,0,0.0,,11,8,,,3,2,,12298.0,12510,8.0,0.7,,,,,,,,,582,9,29.6,,,,,,,,1650,1652,,121,73.5
CVL,Centre-Val de Loire,,67.0,66.0,9.0,576.8,3530.0,3530.0,110.0,74.6,,,,,47,48,6,137.5,9,9,8,800.1,4,5,2,511.6,12006.0,12181,9.0,0.8,,,,,,,,,,,22.1,,,,,,,,3149,,,219,69.5
DOM,Départements d’Outre-mer,,0.0,0.0,0.0,0.0,120.0,120.0,4.0,31.3,,,,,0,0,0,0.0,,,,,3,3,,,9831.0,9841,8.0,0.8,,,,,,,,,0,0,0.0,,,,,,,,233,236,,20,87.0
FRA,France,,7353.0,8448.0,1256.0,542.4,110904.0,110904.0,3176.0,67.1,,,,,1005,1012,190,188.8,1365,1375,912,667.9,785,802,371,472.1,295861.0,298310,206.0,0.7,,,,,,,,,36308,488,26.9,,,,,,,,90127,92429,,5408,60.0
GRE,Grand Est,,2028.0,1358.0,381.0,1152.4,21118.0,21118.0,565.0,147.8,,,,,64.0,61.0,11.0,304.1,14,15,11,1645.1,14,15,7,969.3,29419.0,29776,20.0,1.4,,,,,,,,,3134,48,58.4,,,,,,,,12696,12956,,761,120.4
HDF,Hauts-de-France,,52.0,427.0,144.0,1436.3999999999999,15757.0,15757.0,468.0,125.39999999999999,,,,,191,191,63,331.2,,17.0,14.0,676.3,,110,63,,38460.0,39033,26.0,1.4,,,,,,,,,3508.0,65,25.6,,,,,,,,17687,14733.0,,937,118.0
IDF,Ile-de-France,,73.0,69.0,9.0,125.4,6888.0,6888.0,188.0,43.7,,,,,8,8,2,209.9,5,5,5,859.4,11,11,5,423.3,12286.0,13327,9.0,0.7,,,,,,,,,670,12,35.2,,,,,,,,4793,4837,,303,63.2
NOA,Nouvelle-Aquitaine,,104.0,107.0,23.0,744.1,5806.0,5806.0,172.0,218.4,,,,,82,82,11,133.5,12.0,22,17,1580.9,144.0,154,69,950.1,14319.0,33445,23.0,1.4,,,,,,,,,4798.0,62.0,81.5,,,,,,,,6626,4467.0,,419,196.0
