reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,985,,,172,,,7,0,1,29,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,274,,0,,,,3,1,0,8,,,,,,,,,,,,,
BRE,Bretagne,319,4,0,30,,,3,0,1,8,,,,,,,,,,,,,
CVL,Centre-Val de Loire,274,0,39,61,,,,,0,6,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,0,0,0,0,,,,,1,4,,,,,,,,,,,,,
FRA,France,8266,1077,339,1099,,,86,7,9,184,,,,,,,,,,,,,
GRE,Grand Est,1564,503,54,175,,,11,2,1,31,,,,,,,,,,,,,
HDF,Hauts-de-France,1794,0,134,170,,,7,0,2,21,,,,,,,,,,,,,
IDF,Ile-de-France,379,,6,,,,3,0,0,10,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,492,6,,,,,7,1,1,20,,,,,,,,,,,,,
NOR,Normandie,853,336,65,156,,,5,1,1,10,,,,,,,,,,,,,
OCC,Occitanie,287,1,0,31,,,7,0,1,13,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,712,,,18,,,9,1,1,12,,,,,,,,,,,,,
PAL,Pays de la Loire,332,0,2,56,,,7,0,1,12,,,,,,,,,,,,,
