reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1850,429,365,95,221,16344,16344,443,27,,,,,143,141,39,275,25,28,17,684,42,44,18,414,46222,44337,34,0.73,,,,,292,329,9,31,6206,80,26,,,,,,,,19373,19496,,1100,57
BFC,Bourgogne-Franche-Comté,600,47,44,9,193,4908,4908,145,30,,,,,0,0,0,0,19,19,11,613,17,17,6,363,15268,14840,11,0.73,,,,,,,,,3110,53,34,,,,,,,,,5806,,362,62
BRE,Bretagne,500,,,,,4581,4581,140,31,,,,,0,0,0,0,28,28,17,607,,,,,14660,14605,11,0.73,,,,,,,,,1392,18,25,,,,,,,,,4328,,304,70
CVL,Centre-Val de Loire,449,153,42,21,134,4863,4863,141,29,,,,,50,49,7,139,14,14,10,659,3,3,2,475,11156,11180,9,0.85,,,,,,,,,310,4,28,,,,,,,,3606,3684,,252,70
DOM,Départements d’Outre-mer,77,0,0,0,0,0,0,0,186,,,,,0,0,0,0,,,,,,,,,20732,20653,14,0.68,,,,,,,,,824,8,19,,,,,,,,502,508,,52,104
FRA,France,14535,11146,9768,1849,166,140008,140008,3664,26,,,,,732,736,140,192,2072,2063,1054,509,184,194,84,455,344023,338238,252,0.73,,,,,2416,3863,101,42,51402,638,25,,,,,,,,110777,115032,,6699,60
GRE,Grand Est,2323,1936,1787,311,161,29808,29808,759,25,,,,,62,63,8,126,18,17,13,708,15,15,6,444,53193,53018,40,0.75,,,,,,,,,7750,88,23,,,,,,,,17208,17915,,1043,61
HDF,Hauts-de-France,2795,,,,,27249,27249,688,25,,,,,169,161,49,288,,,,,4,6,2,466,37414,36248,26,0.71,,,,,,,,,4892,58,24,,,,,,,,20544,21786,,1081,53
IDF,Ile-de-France,618,149,61,20,134,7634,7634,175,23,,,,,14,13,3,185,6,6,5,803,1,1,1,462,16121,15964,12,0.72,,,,,,,,,1536,19,25,,,,,,,,5584,5611,,384,69
NOA,Nouvelle-Aquitaine,880,141,136,24,167,7533,7533,213,28,,,,,,,,,26,26,18,675,,,,,34321,33820,25,0.74,,,,,525,995,22,42,9150,100,22,,,,,,,,7149,7545,,456,64
NOR,Normandie,1239,,,,,18308,18308,458,25,,,,,,,,,,,,,16,16,7,430,20186,19825,15,0.72,,,,,403,432,18,45,7362,102,28,,,,,,,,8202,9006,,519,63
OCC,Occitanie,565,379,79,59,157,4140,4140,114,28,,,,,88,91,11,126,8,8,6,744,15,16,8,547,25115,24781,19,0.75,,,,,,,,,1404,17,24,,,,,,,,4720,4987,,328,69
PAC,Provence-Alpes-Côte d'Azur,1954,,,,,9579,9579,232,24,,,,,82,92,10,121,,,,,18,18,7,397,25609,25633,19,0.74,,,,,,,,,5812,73,25,,,,,,,,7634,8177,,396,52
PAL,Pays de la Loire,686,229,15,39,169,5063,5063,155,31,,,,,60,61,6,107,13,13,18,1367,7,12,4,602,24026,23334,17,0.73,,,,,,,,,1654,18,21,,,,,,,,,6185,,423,69
