2025-07-18 21:40:45,745 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,747 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,747 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,748 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,753 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,755 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,755 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,755 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,757 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,760 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,760 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group '31' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,767 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,771 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de gaz (en millions d'euros)' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,773 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de gaz (en millions d'euros)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,775 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de gaz (en millions d'euros)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,776 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de gaz (en millions d'euros)' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,888 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Quantités achetées de butane-propane (en milliers de tonnes)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,893 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de butane-propane (en milliers de tonnes)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,899 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Valeur des achats de butane-propane (en millions d'euros)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,905 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Prix moyen annuel du butane-propane (en €/t)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,911 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Quantités achetées de fioul lourd (en milliers de tonnes)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,917 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de fioul lourd (en milliers de tonnes)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,923 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Valeur des achats de fioul lourd (en millions d'euros)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,946 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Valeur des achats de fioul domestique (en millions d'euros)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,952 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Prix moyen annuel du fioul domestique (en €/l)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,988 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Vapeur achetée (en milliers de tonnes)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,030 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité achetée (en GWh)' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,055 | INFO | --- Processing file: 2010_REG_T2.csv ---
2025-07-18 21:40:46,068 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'FRA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,068 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,070 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,071 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,071 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,072 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'PAL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,073 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,074 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,074 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,075 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,075 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,075 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,076 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,076 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,078 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,079 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,080 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,081 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,081 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
