2025-07-19 21:38:55,756 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,757 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,758 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,759 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,759 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,760 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,761 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,761 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,763 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,763 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,764 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,764 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,789 | INFO | --- Processing file: 2010_TEFF_T4.csv ---
2025-07-19 21:38:55,794 | INFO | Script: step_3_T4.py | File: 2010_TEFF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,805 | INFO | Script: step_3_T4.py | File: 2010_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,807 | INFO | Script: step_3_T4.py | File: 2010_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,810 | INFO | Script: step_3_T4.py | File: 2010_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,813 | INFO | Script: step_3_T4.py | File: 2010_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,830 | INFO | --- Processing file: 2011_NAF_T4.csv ---
2025-07-19 21:38:55,835 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,837 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '14' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,837 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,838 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,838 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,839 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '21' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,840 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,841 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '26' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,841 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '28' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,842 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '29' included a suppressed or null value (s, so, ns, or null).
