2025-07-18 21:35:57,789 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,789 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,790 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,790 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,793 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,794 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,795 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,799 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,815 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation de combustibles minéraux solides' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,824 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,826 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,827 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,827 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,830 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation de butane-propane' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,831 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Consommation de butane-propane' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,835 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de fioul lourd' included a suppressed or null value (s, so, ns, or null).
