ID,REG,Houille,Houille,Houille,Houille,Houille,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Vapeur,Vapeur,Vapeur,Vapeur,Vapeur
ID,REG,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
FRA,France,s,3916,s,s,5157,s,s,0,0,s,262,s,0,s,452,8540,800,356,1002,10719,712,s,0,s,740,152,2409,1,69,2632,s,s,12,12,s,75,6,16,152,252,s,s,s,1,1261,s,s,s,s,s,725,0,78,52,855,244,0,s,15,s,s,s,s,141,495,1480,so,17,86,1584
IDF,Ile-de-France,s,s,0,s,27,0,0,0,0,0,s,s,0,0,1,386,s,7,s,627,13,s,0,s,15,5,s,0,s,7,1,0,0,0,1,2,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,0,0,s,0,0,0,138,138,1,so,s,s,3
HDF,Hauts-de-France,18,0,0,0,18,0,s,0,0,s,s,s,0,0,s,518,8,s,s,661,s,0,0,0,s,6,s,s,s,29,s,0,s,s,48,2,0,0,5,8,s,s,0,0,6,0,0,0,0,0,s,0,0,s,2,1,0,0,0,1,0,1,0,0,1,104,so,0,7,111
NOR,Normandie,s,0,s,s,s,0,0,0,0,0,s,0,0,0,s,654,346,s,63,s,s,0,0,0,s,2,s,0,2,s,40,0,6,2,48,2,0,0,5,7,s,s,0,0,509,0,0,0,0,0,92,0,11,s,s,s,0,s,0,s,s,0,s,0,31,204,so,s,s,213
CVL,Centre-Val de Loire,s,s,0,0,21,0,0,0,0,0,s,s,0,0,2,292,s,s,51,359,50,0,0,0,50,4,0,s,s,8,6,0,1,0,6,s,s,1,6,9,0,0,0,0,0,0,0,0,0,0,30,0,0,2,32,6,0,0,0,6,2,0,0,0,2,0,so,0,1,1
NOR,Normandie,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,177,0,s,s,209,s,0,0,0,s,5,s,1,3,s,s,0,0,s,8,1,1,2,6,9,0,s,0,0,s,0,0,0,0,0,16,0,0,1,17,s,0,0,0,s,s,0,0,0,s,4,so,0,0,4
BFC,Bourgogne-Franche-Comté,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,215,s,s,53,269,0,0,0,0,0,1,0,0,s,s,s,0,0,s,s,3,1,0,3,7,0,0,0,0,0,0,0,0,0,0,25,0,4,3,32,0,0,0,0,0,s,0,0,s,0,s,so,0,s,7
HDF,Hauts-de-France,s,s,0,0,s,s,2,0,0,s,54,128,0,0,183,1136,s,84,97,s,s,s,0,0,115,7,s,0,s,s,9,0,0,2,11,10,0,0,10,20,s,s,0,1,s,0,0,0,0,0,20,0,0,s,s,4,0,0,0,4,s,s,0,0,s,78,so,s,s,82
GRE,Grand Est,789,0,s,0,s,48,0,0,0,48,130,46,0,0,176,661,s,s,62,745,s,s,0,0,s,1,0,0,4,5,1,0,0,0,2,s,s,s,7,14,s,0,0,0,s,0,0,0,0,0,51,0,s,5,s,18,0,0,0,18,61,0,0,s,s,49,so,0,4,53
GRE,Grand Est,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,837,s,s,s,1078,s,s,0,0,19,2,2,0,5,9,5,0,0,0,5,5,0,0,6,11,s,0,0,0,s,0,0,0,0,0,69,0,0,s,s,s,0,0,s,6,s,0,0,0,s,44,so,s,s,49
BFC,Bourgogne-Franche-Comté,104,0,0,0,104,0,0,0,0,0,s,0,0,0,s,139,s,0,s,203,s,0,0,0,s,11,0,s,s,17,4,0,0,1,5,1,0,0,5,7,s,0,0,s,s,0,0,0,0,0,13,0,0,5,18,s,0,0,s,s,s,0,0,0,s,s,so,0,s,s
PAL,Pays de la Loire,s,0,0,0,s,s,0,0,0,s,s,0,0,0,s,395,0,s,s,462,57,0,0,0,57,19,0,0,7,26,17,s,1,0,s,3,0,2,12,18,s,0,0,s,s,0,0,0,0,0,15,0,s,2,s,s,0,s,0,19,s,0,0,0,s,75,so,0,7,82
BRE,Bretagne,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,366,0,0,36,403,0,0,0,0,0,20,s,s,4,s,24,0,0,0,24,4,0,3,8,15,0,0,0,s,s,s,0,0,0,s,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,32,so,0,4,36
NOA,Nouvelle-Aquitaine,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,133,0,15,22,170,s,s,0,0,56,12,0,0,2,15,26,0,0,0,26,3,2,0,9,15,s,5,0,s,6,0,0,0,0,0,29,0,0,1,30,21,0,0,0,21,30,0,0,0,30,8,so,0,0,9
NOA,Nouvelle-Aquitaine,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,227,1,7,45,282,s,0,0,0,s,3,s,0,2,s,s,s,s,s,92,3,s,s,5,9,0,0,0,0,0,278,s,s,0,318,138,0,9,6,153,s,0,0,0,s,s,0,0,0,s,302,so,s,s,313
OCC,Occitanie,0,s,0,0,s,0,0,0,0,0,s,0,0,0,s,156,1,0,30,189,s,2,0,0,s,9,s,0,2,s,s,s,0,1,14,4,s,s,4,9,s,0,0,s,0,s,s,0,s,s,29,0,s,9,s,s,0,0,0,s,s,0,0,0,s,19,so,s,s,25
NOA,Nouvelle-Aquitaine,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,88,0,0,12,100,0,0,0,0,0,1,s,s,s,s,4,0,0,s,s,1,0,0,1,2,0,0,0,0,0,189,0,0,0,189,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,9,so,s,s,11
ARA,Auvergne-Rhône-Alpes,26,88,0,0,115,0,0,0,0,0,s,s,0,0,7,768,103,2,138,1012,87,22,0,0,109,24,4,0,8,36,43,0,0,2,45,4,0,2,21,27,12,s,s,0,15,0,0,0,0,0,48,0,0,4,52,29,0,0,0,29,45,s,0,s,47,218,so,6,8,232
ARA,Auvergne-Rhône-Alpes,s,0,0,0,s,0,0,0,0,0,21,1,0,0,22,197,s,s,28,241,s,0,0,0,s,8,0,0,2,9,s,0,0,s,6,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,12,0,0,2,14,s,0,0,0,s,s,0,0,0,s,15,so,0,1,16
OCC,Occitanie,s,s,0,0,67,0,0,0,0,0,0,0,0,0,0,133,s,s,s,144,24,0,0,0,24,3,0,0,1,4,3,0,0,0,3,1,0,1,6,8,s,0,0,0,s,0,0,0,0,0,s,0,0,s,21,s,0,0,11,s,38,0,0,0,38,s,so,0,s,s
PAC,Provence-Alpes-Côte d'Azur,0,s,s,0,s,0,0,0,0,0,0,0,0,0,0,664,s,s,s,s,108,0,0,0,108,2,1286,0,1,1289,141,0,s,s,143,8,0,1,7,17,s,0,s,0,137,0,0,s,0,s,13,0,s,0,s,11,0,0,0,11,s,0,0,0,s,207,so,0,1,208
DOM,Départements d’Outre-mer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,6,0,1,3,10,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,9,0,0,0,9,0,1,0,0,1,68,so,0,0,68
