Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Total industrie,so,so,14304,so,9478,9315,1054,111,s,s,s,s,625,635,146,233,136991,136991,3908,29,864,878,123,143,2334,2329,913,391,s,s,s,s,310325,294898,184,0.59,2183,3574,105,48,23671,23671,575,24,107783,111718,7066,66
20 à 49 salariés,so,so,1515,so,s,s,s,s,44,42,4,89,8,8,1,137,9254,9254,336,36,s,s,s,s,52,49,38,719,95,87,31,324,125673,116285,76,0.6,178,313,9,50,964,964,24,24,11173,11181,983,88
50 à 99 salariés,so,so,1730,so,218,198,22,101,110,108,11,98,110,102,20,178,14153,14153,447,32,204,217,22,108,39,38,25,644,52,50,21,403,58055,54845,35,0.6,295,488,11,37,1911,1911,48,25,14543,14611,1068,73
100 à 249 salariés,so,so,3686,so,s,s,s,s,144,145,15,106,91,89,25,276,44616,44616,1251,28,489,499,54,110,63,61,38,607,121,119,43,358,s,s,s,s,879,1346,46,53,7697,7697,190,25,27256,28036,1898,70
250 à 499 salariés,so,so,3311,so,575,568,45,78,s,s,s,s,107,107,23,217,40786,40786,1101,27,s,s,s,s,750,754,323,431,212,220,66,312,s,s,s,s,748,1239,34,45,7412,7412,164,22,24973,26587,1524,61
500 salariés ou plus,so,so,4063,so,s,s,s,s,s,s,s,s,309,329,77,249,28183,28183,772,27,s,s,s,s,1431,1427,489,342,s,s,s,s,s,s,s,s,82,189,5,64,5686,5686,149,26,29837,31304,1594,53
