ENERGIE;TEFF;QAUP;CSUP;VALA;PRIX
T;03;so;so;1429;so
T;04;so;so;1589;so
T;05;so;so;3407;so
T;06;so;so;3029;so
T;07;so;so;4321;so
T;T;so;so;13774;so
BR;03;11345;11382;991;87
BR;04;13592;13654;940;69
BR;05;26929;28219;1742;65
BR;06;24060;25359;1414;59
BR;07;30148;31432;1602;53
BR;T;106074;110045;6689;63
CR;03;310;310;7;24
CR;04;2220;2220;53;24
CR;05;9842;9842;204;21
CR;06;8503;8503;177;21
CR;07;4379;4379;113;26
CR;T;25255;25255;555;22
DR;03;8269;8269;276;33
DR;04;13451;13451;392;29
DR;05;46428;46428;1144;25
DR;06;39844;39844;905;23
DR;07;28494;28494;629;22
DR;T;136487;136487;3345;25
FR;03;11;11;3;256
FR;04;428;418;70;163
FR;05;733;756;121;165
FR;06;589;542;93;158
FR;07;7210;7094;1197;166
FR;T;8971;8821;1484;165
IR;03;44;47;7;152
IR;04;324;329;39;121
IR;05;235;237;33;142
IR;06;s;s;s;s
IR;07;s;s;s;s
IR;T;736;746;124;168
JR;03;49;53;34;682
JR;04;36;36;25;692
JR;05;68;69;43;638
JR;06;765;762;306;399
JR;07;1755;1754;700;399
JR;T;2674;2674;1108;414
KR;03;18;18;10;556
KR;04;20;20;9;483
KR;05;34;37;19;563
KR;06;79;81;34;437
KR;07;21;21;10;456
KR;T;172;176;83;482
LR;03;118333;117631;91;0.77
LR;04;69610;69731;51;0.73
LR;05;75363;76037;58;0.77
LR;06;s;s;s;s
LR;07;s;s;s;s
LR;T;322670;323092;245;0.76
OR;03;213;340;10;49
OR;04;260;409;8;29
OR;05;695;1246;28;40
OR;06;845;1388;37;44
OR;07;82;136;5;64
OR;T;2094;3520;88;42
PR;03;2208;2208;1;0
PR;04;8273;18829;2;0
PR;05;77307;106871;13;0
PR;06;207573;306221;23;0
PR;07;42849;453887;14;0
PR;T;338211;888016;54;0
