ANNEE;CONSBRT;CONSNET;FACTURE;BR_PCT;CMS_PCT;DR_PCT;PP_PCT;CR_PCT;ENM_PCT;TOT_PCT;BR_PRIX;CR_PRIX;DR_PRIX;FR_PRIX;GR_PRIX;HR_PRIX;IR_PRIX;JR_PRIX;KR_PRIX;LR_PRIX;OR_PRIX
1996;32.9;nd;7603;36.6;5.5;37.6;18.1;2.2;nd;100;46.2;10.3;11.2;52.1;nd;118.9;81.1;193.8;115.9;0.2;nd
1997;33.4;nd;7894;37.8;5.1;38.4;16.8;1.9;nd;100;45.1;10.5;11.9;56.6;nd;112.6;84.3;209.2;114.8;0.3;nd
1998;34.6;nd;7770;37.7;4.9;38.6;16.7;2.1;nd;100;43.2;9.7;11.4;54.2;nd;111.7;76.4;174.5;95.5;0.2;nd
1999;34.5;nd;7569;38.3;4.4;39.0;15.5;2.8;nd;100;42.3;9.7;11.0;45.7;nd;98.4;76.2;212.1;115.8;0.2;nd
2000;34.4;nd;8477;39.3;5.6;37.8;13.8;3.5;nd;100;39.8;13.1;15.0;52.3;nd;109.2;136.3;329.4;182.0;0.3;nd
2001;33.7;nd;8762;38.6;4.1;38.0;14.3;5.0;nd;100;38.9;13.0;17.4;63.7;nd;134.1;112.5;300.9;163.7;0.3;nd
2002;33.1;nd;8327;38.1;7.1;36.4;12.6;5.8;nd;100;39.1;12.5;15.6;66.7;nd;128.8;113.1;277.7;174.4;0.3;nd
2003;32.7;nd;8462;39.4;5.1;37.7;11.9;5.9;nd;100;39.2;13.0;16.8;58.8;nd;127.1;112.8;285.6;185.8;0.3;nd
2004;33.3;nd;9031;38.9;4.2;37.3;13.4;6.2;nd;100;41.6;13.0;16.4;65.1;nd;238.3;98.3;315.0;173.4;0.3;nd
2005r;32.9;nd;10356;39.6;4.9;37.0;11.5;7.0;nd;100;44.7;18.1;20.4;90.4;97.3;226.8;88.2;396.5;228.3;0.4;nd
2005;44.0;41.5;12769;33.5;4.7;33.9;10.1;6.0;11.8;100;45.4;18.0;20.6;90.2;88.6;227.3;88.2;403.0;237.7;0.4;nd
2006;42.9;40.7;14309;33.6;5.1;33.7;10.0;5.1;12.4;100;51.0;21.9;25.7;90.7;81.3;190.3;98.6;445.8;284.4;0.5;nd
2007;42.5;40.5;14446;34.4;5.2;33.7;9.1;5.4;12.1;100;50.5;21.8;26.8;87.5;79.3;203.7;109.1;475.3;294.6;0.5;nd
2008;42.6;40.7;16260;33.5;4.9;32.5;8.3;5.8;14.9;100;53.4;28.2;31.9;96.0;117.6;242;148.6;561.9;385.9;0.6;nd
2009;36.5;34.6;13284;34.2;4.6;33.3;8.3;6.1;13.5;100;56.4;23.4;28.4;95.4;98.3;205.6;130.7;403.8;302.6;0.5;nd
2010;37.6;35.7;14538;33.8;5.1;34.3;7.7;5.9;13.1;100;57.4;23.3;27.0;142.9;110.6;283.9;149.8;514.7;380.2;0.7;nd
2011;36.4;34.8;15594;33.8;6.7;33.9;7.8;5.2;12.5;100;61.2;26.5;28.6;180.0;154;358.7;188.8;672.4;483.5;0.7;nd
2012;36.0;34.4;16110;33.3;6.5;35.0;7.0;5.5;12.6;100;62.5;29.0;30.9;171.4;118.2;322.2;165.2;730.4;566.1;0.8;36.7
2013;35.6;34.3;15894;33.4;6.2;35.9;6.4;5.9;12.1;100;65.2;28.5;32.4;129.6;122;268;142.8;655.0;507.6;0.8;39.6
2014;35.4;34.2;15175;33.9;5.9;35.3;5.9;5.7;13.4;100;66.3;27.0;30.0;114.9;109.9;228.4;130.4;590.7;479.8;0.7;43
2015;35.8;34.6;14304;34.1;7.8;33.6;5.4;6.1;13;100;65.6;24.3;28.5;111.2;104.9;233.4;143.0;391.1;342.5;0.6;48.1
2016;36.5;35.5;13116;34.0;7.2;33.5;5.3;6.0;14;100;60.0;22.0;25.0;111.0;108;199;115.0;362.0;297.0;0.5;42
2017;35.5;34.5;13279;34.6;6.1;33.8;4.6;6.5;14.4;100;58.0;22.0;24.0;164.0;so;so;132.0;426.0;423.0;0.6;41
2018;35.7;34.6;14535;34.9;6.1;34.3;4.3;6.5;14.1;100;60.0;25.0;26.0;158.0;so;so;192.0;509.0;455.0;0.7;42
2019;35.4;34.4;13774;34.7;5.5;35.1;4.3;6.7;13.8;100;63.0;22.0;24.5;154.0;so;so;168.0;414.0;482.0;0.8;42
