ENERGIE;SECTEUR;QAUP;CSUP;VALA;PRIX
T;07;so;so;;so
T;08;so;so;125;so
T;10;so;so;2270;so
T;11;so;so;192;so
T;12;so;so;;so
T;13;so;so;129;so
T;14;so;so;;so
T;15;so;so;21;so
T;16;so;so;186;so
T;17;so;so;757;so
T;18;so;so;102;so
T;20;so;so;3141;so
T;21;so;so;251;so
T;22;so;so;605;so
T;23;so;so;1152;so
T;24;so;so;2608;so
T;25;so;so;573;so
T;26;so;so;165;so
T;27;so;so;211;so
T;28;so;so;267;so
T;29;so;so;458;so
T;30;so;so;230;so
T;31;so;so;51;so
T;32;so;so;66;so
T;33;so;so;81;so
T;38;so;so;114;so
T;T;so;so;13774;so
BR;07;0;0;0;87
BR;08;655;664;52;80
BR;10;16814;18323;1227;73
BR;11;1679;1681;127;76
BR;12;s;5;1;99
BR;13;1009;1009;79;79
BR;14;s;107;10;99
BR;15;144;144;14;97
BR;16;1857;1865;138;74
BR;17;6919;7538;383;55
BR;18;961;961;81;85
BR;20;18918;19883;977;52
BR;21;s;2339;168;72
BR;22;s;6686;471;74
BR;23;s;8201;466;57
BR;24;20742;21168;944;45
BR;25;4824;4825;402;83
BR;26;1918;1919;139;72
BR;27;s;1986;156;79
BR;28;2008;2009;177;88
BR;29;s;4449;313;71
BR;30;2060;2075;165;80
BR;31;s;401;38;95
BR;32;s;593;51;86
BR;33;480;480;53;110
BR;38;686;734;57;83
BR;T;106074;110045;6689;63
CR;07;0;0;0;0
CR;08;s;s;s;s
CR;10;3581;3581;80;22
CR;11;182;182;3;19
CR;12;0;0;0;0
CR;13;s;s;s;s
CR;14;0;0;0;66
CR;15;48;48;1;18
CR;16;s;s;s;s
CR;17;4164;4164;81;20
CR;18;s;s;s;s
CR;20;14608;14608;328;22
CR;21;395;395;14;35
CR;22;679;679;13;19
CR;23;165;165;3;21
CR;24;451;451;7;16
CR;25;14;14;0;34
CR;26;15;15;1;53
CR;27;12;12;1;59
CR;28;7;7;0;33
CR;29;231;231;6;24
CR;30;168;168;6;35
CR;31;0;0;0;0
CR;32;35;35;1;22
CR;33;27;27;1;31
CR;38;s;s;s;s
CR;T;25255;25255;555;22
DR;07;0;0;0;0
DR;08;450;450;11;24
DR;10;30546;30546;819;27
DR;11;1628;1628;55;34
DR;12;s;s;s;s
