ENERGIE;REGION;QAUP;CSUP;VALA;PRIX
T;11;so;so;590;so
T;24;so;so;435;so
T;27;so;so;584;so
T;28;so;so;1333;so
T;32;so;so;2620;so
T;44;so;so;2108;so
T;52;so;so;654;so
T;53;so;so;502;so
T;75;so;so;883;so
T;76;so;so;520;so
T;84;so;so;1825;so
T;93;so;so;1638;so
T;97;so;so;81;so
T;T;so;so;13774;so
BR;11;s;5281;369;70
BR;24;3450;3509;255;74
BR;27;s;5566;361;65
BR;28;7945;8356;517;65
BR;32;19578;20929;1087;56
BR;44;15825;16728;1001;63
BR;52;s;5697;417;74
BR;53;4035;4039;315;78
BR;75;7308;7536;486;67
BR;76;4704;4871;335;71
BR;84;18722;18896;1105;59
BR;93;7566;8144;383;51
BR;97;s;492;56;115
BR;T;106074;110045;6689;63
CR;11;253;253;7;28
CR;24;90;90;3;28
CR;27;1618;1618;42;26
CR;28;3454;3454;79;23
CR;32;2187;2187;51;23
CR;44;3919;3919;87;22
CR;52;758;758;16;21
CR;53;535;535;13;24
CR;75;4109;4109;85;21
CR;76;745;745;17;23
CR;84;3835;3835;86;22
CR;93;2860;2860;58;20
CR;97;893;893;11;13
CR;T;25255;25255;555;22
DR;11;8471;8471;192;23
DR;24;5374;5374;143;27
DR;27;4893;4893;140;29
DR;28;s;s;s;s
DR;32;25881;25881;599;23
DR;44;28257;28257;650;23
DR;52;5462;5462;173;32
DR;53;4386;4386;139;32
DR;75;7488;7488;205;27
DR;76;4200;4200;114;27
DR;84;16496;16496;435;26
DR;93;s;s;s;s
DR;97;4;4;0;37
DR;T;136487;136487;3345;25
FR;11;43;42;7;157
FR;24;45;42;6;132
FR;27;41;40;8;201
FR;28;17;17;3;146
FR;32;s;s;s;s
FR;44;1492;1462;269;181
FR;52;15;16;5;343
FR;53;s;s;s;s
FR;75;129;129;19;150
FR;76;56;57;7;117
FR;84;310;325;71;230
FR;93;s;s;s;s
FR;97;0;0;0;0
FR;T;8971;8821;1484;165
IR;11;18;20;3;153
IR;24;53;53;7;139
IR;27;0;0;0;0
IR;28;s;s;s;s
IR;32;173;172;37;215
IR;44;53;54;7;130
IR;52;62;64;7;117
IR;53;0;0;0;0
IR;75;s;s;s;s
IR;76;108;107;15;136
IR;84;132;138;32;246
IR;93;85;84;10;114
IR;97;0;0;0;0
IR;T;736;746;124;168
JR;11;4;4;3;802
JR;24;10;10;6;645
JR;27;19;19;12;628
JR;28;s;s;s;s
JR;32;s;s;s;s
JR;44;17;17;12;726
JR;52;15;15;10;693
JR;53;27;27;16;577
JR;75;22;22;14;651
JR;76;9;9;6;699
JR;84;31;34;20;639
JR;93;1381;1380;561;406
JR;97;1;1;2;1254
JR;T;2674;2674;1108;414
KR;11;1;1;1;519
KR;24;2;2;1;337
KR;27;11;11;4;386
KR;28;11;11;5;422
KR;32;s;s;s;s
KR;44;10;10;4;429
KR;52;6;6;3;571
KR;53;11;11;6;567
KR;75;37;38;18;501
KR;76;13;13;8;582
KR;84;50;53;25;490
KR;93;17;17;6;389
KR;97;s;s;s;s
KR;T;172;176;83;482
LR;11;10861;10951;7;0.69
LR;24;13219;13275;11;0.86
LR;27;17078;17083;12;0.72
LR;28;18503;18396;14;0.78
LR;32;38693;39079;28;0.73
LR;44;51354;50729;38;0.75
LR;52;23811;24017;18;0.74
LR;53;12758;12835;10;0.75
LR;75;s;s;s;s
LR;76;21042;21147;17;0.79
LR;84;40732;40568;31;0.75
LR;93;23804;24155;20;0.82
LR;97;s;s;s;s
LR;T;322670;323092;245;0.76
OR;11;s;s;s;s
OR;24;33;109;2;62
OR;27;24;201;1;24
OR;28;311;338;13;42
OR;32;152;166;7;43
OR;44;588;961;28;47
OR;52;61;167;3;55
OR;53;s;s;s;s
OR;75;431;908;19;45
OR;76;79;186;3;32
OR;84;275;330;7;24
OR;93;127;128;5;41
OR;97;s;s;s;s
OR;T;2094;3520;88;42
PR;11;422;422;0;1
PR;24;s;s;s;s
PR;27;13590;127474;4;0
PR;28;s;s;s;s
PR;32;28233;30867;9;0
PR;44;187486;282223;11;0
PR;52;s;s;s;s
PR;53;s;s;s;s
PR;75;22787;30630;4;0
PR;76;210;210;0;1
PR;84;70090;94418;15;0
PR;93;8242;314500;5;1
PR;97;0;0;0;0
PR;T;338211;888016;54;0
