reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,974.6,44.7,12.2,124.9,1.2,1157.6,2.9,0.1,0.4,8.2,11.5,2.3,0,0.1,1.7,11.4,15.4,2.3,5,0.0,0,0.0,7.3
BFC,Bourgogne-Franche-Comté,286.8,,,,0.3,416.0,,,0,3.2,4.3,1.8,0.8,0.2,0.5,8.7,12,,45.8,0.0,,0.0,64
BRE,Bretagne,330.0,,,24.2,0.0,354.6,3,,,1.4,5,2.9,,2.3,,9.2,15.4,0,,0.0,,0.0,0
CVL,Centre-Val de Loire,250.7,0.2,41.6,43.8,0.5,336.8,,0,0.4,3.4,,,,,0.5,2.9,4.9,0.1,0.1,0.0,0,0.0,0.2
DOM,Départements d’Outre-mer,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,7500.8,798.6,492.4,765.5,5.9,9563.3,95.6,1,6.4,37.7,140.7,36.2,4.1,6.3,13.7,127.7,188,211.1,151.8,0.0,14,0.0,376.9
GRE,Grand Est,1545.7,309.6,99.3,140.6,0.9,2096.1,,,,3.8,,5.2,,,2.1,15.4,24.2,,,0.0,0,0.0,
HDF,Hauts-de-France,1427.6,37.2,239.8,125.4,0.5,1830.4,5.5,0,0.5,3.4,9.5,2.9,0.1,0.4,1.2,15.2,19.8,17.5,,0.0,0,0.0,
IDF,Ile-de-France,345.6,2.5,1,56.7,1.1,406.9,0.6,0,0.3,1.2,2.1,,0.3,,1,11.1,12.8,,,0.0,0,0.0,0.1
NOA,Nouvelle-Aquitaine,473.7,2.3,3.9,42.7,0.1,522.7,2.3,0,0.3,2.0,4.6,2.1,,0.3,2.5,15.8,,0.3,0,0.0,0,0.0,0.3
NOR,Normandie,724.3,307.3,7.5,56.9,0.0,1096.0,,0,,1.7,,1,,,1,3.7,,,,0.0,0,0.0,
OCC,Occitanie,291.4,,0,,0.0,311.8,0.8,0,0.4,3.5,4.6,4.2,,0.5,,16.4,21.4,,,0.0,0,0.0,
PAC,Provence-Alpes-Côte d'Azur,536.4,,22.5,,0.0,655.1,,,0.9,0.6,,3.3,0.6,0.2,0.5,7.7,12.2,,79.5,0.0,,0.0,110.4
PAL,Pays de la Loire,309.0,,,59.4,1.3,371.4,1.6,0,0.9,3.7,6.3,4.7,0,0.4,0.7,6.5,12.3,0.9,,0.0,,0.0,0.9
