teff_code,teff_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
100-249,100 à 249 salariés,7025.1,431.8,426.6,166.8,386.3,44518.2,44729.0,3224.9,72.4,136.6,347.5,4.7,34.2,420.0,425.3,84.6,201.4,66,66.7,55.1,834.7,20.9,20.9,17.1,819.2,25615.3,24981.1,27.6,1.08,48705.3,48149.0,54.6,1.12,686.1,1127.8,30.5,44.5,9861.4,476.2,48.3,4.1,,,26.7,6533.6,,0,26473.6,,1453.3,2861.0,108.1
20-49,20 à 49 salariés,2362.1,43.2,43.7,8.6,198.2,6643.1,6722.5,400.3,60.3,14.6,,1.7,117.4,38.0,36.3,11.3,297.6,81.1,80.9,79.8,983.9,24,24.2,22.4,933.1,28251.6,28453.8,30.2,1.07,94727.5,94901.9,108.3,1.14,127.3,501.6,7.2,56.8,1115.5,85.9,77.0,,,,2.4,,0,,12986.0,,427.6,1605.6,123.6
250-499,250 à 499 salariés,6309.2,579.5,568.6,200.6,346.2,34680.8,34794.2,2594.9,74.8,75.3,188.7,6.0,79.2,12.0,11.4,8.1,675.5,,,414.5,,58.4,58.1,38.3,655.7,,,18.8,,13545.5,13544.6,14.9,1.1,888.2,1307.2,32.8,36.9,7786.9,426.7,54.8,,62,62.5,75.3,,,,23203.0,,2476.5,2484.5,107.1
50-99,50 à 99 salariés,2519.6,258.1,266.3,63.4,245.5,12814.7,12868.4,752.9,58.8,54.5,,3.4,62.1,195.0,200.0,41.1,210.5,,,41.8,,,,3.5,,13714.6,13591.6,16.3,1.19,48360.6,48178.6,53.8,1.11,974.0,1138.6,19.5,20.0,2095.0,112.4,53.6,,,,6.1,,,0,12640.2,,238.8,1409.0,111.5
500+,500 salariés et plus,7782.0,6124.3,6051.6,1858.7,303.5,25062.9,25085.1,1806.1,72.1,162.0,184.1,9.5,58.7,170.3,146.5,124.6,731.2,816.3,796.1,554.1,678.8,,,19.3,,,,74.3,,17338.1,17722.5,19.6,1.13,93.7,189.2,5.8,62.2,4783.9,417.9,87.4,,41.2,53.9,36.9,,,,26876.1,,3279.9,2864.8,106.6
_T,Total,25998.0,7436.9,7356.8,2298.0,309.0,123719.6,124199.3,8779.1,71.0,442.9,,25.2,57.0,835.5,819.5,269.7,322.8,1589.6,1567.9,1145.2,720.4,138.3,138.3,100.5,727,168631.7,166493.3,167.2,0.99,222677.1,222496.6,251.2,1.13,2769.3,4264.3,95.9,34.6,25642.8,1519.0,59.2,29.5,111.9,120.3,147.4,4991.8,82.4,38,102178.9,,7876.0,11224.9,109.9
