naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",828.7,,,,,3026.7,3026.7,184.1,60.8,0,0,0,0.0,,,,,17.9,17.9,16.6,924,4.7,4.6,4.2,904.4,,,7.8,,3258.9,3254.9,3.7,1.15,3.4,,0.3,92.1,,,,0.4,0.4,0,,,0,0,4894,,59.0,600.4,122.7
26,"Fabrication de produits informatiques, électroniques et optiques",215.2,0,0,0,0.0,342.1,342.1,20.8,60.7,,,1.8,,0,0,0,0.0,0.3,0.2,0.3,1022.6,0,0,0,0.0,1095.6,987.4,1.3,1.16,262,264.5,0.3,1.16,,,,,17.4,1.9,109.2,,,0,,,0,0,2259.6,,10.3,190.0,84.1
27,Fabrication d'équipements électriques,327.4,,,,,923.7,923.7,55.5,60.1,10.8,10.8,,,0,0,0,0.0,1.7,1.6,1.8,1098.6,,,,,2021.8,1971.8,2.0,0.99,1205.2,,1.5,1.26,,,,,19,0.7,35.1,,,,1.8,,,0,1970.7,,8.2,253.2,128.5
28,Fabrication de machines et équipements n.c.a.,312.3,0,0,0,0.0,1292.4,1292.4,71.9,55.7,0.2,0.2,0,166.7,0,0,0,0.0,7.9,7.6,6.9,876.7,0.2,0.2,,,6960.6,6721.5,7.4,1.06,6208.3,6405.6,7.5,1.2,,,,,,1.6,,0,0,0,0.5,20032,0,0,,,16.1,216.0,
29,Industrie automobile,759.1,0,0,0,0.0,2773.4,2773.4,214.9,77.5,50.5,50.5,,,0,0,0,0.0,8.2,8.2,7,858.6,,,,,1476.2,1351.1,1.6,1.09,,,,,,,,,218.4,13.7,62.9,,,0,,,0,0,3610.7,,33.7,519.2,143.8
30,Fabrication d'autres matériels de transport,341.4,0,0,0,0.0,1246.8,1246.8,92.4,74.1,32.1,32.1,,,0,0,0,0.0,2.2,2.2,2.1,955.6,,,,,1882.4,1896.9,2.2,1.16,,,1.7,,,,1,,167.5,3.9,23.4,0.6,0.6,0,3.4,5564.3,0,0,,,46.7,234.7,
31,Fabrication de meubles,58.4,0,0,0,0.0,213.8,213.8,11.2,52.3,0,0,0,0.0,0,0,0,0.0,2.2,2.2,2.1,945.7,0,0,0,0.0,2381.9,2314.9,2.4,1,31.4,39.6,0,0.96,5,68.5,,,0,0,0.0,,,0,,,0,0,385.7,,0.4,42.3,109.7
32,Autres industries manufacturières,93.8,0,0,0,0.0,290.6,290.6,12.7,43.9,0,0,0,0.0,0,0,0,0.0,2.7,2.7,2.9,1063.4,0,0,0,0.0,249.4,261.5,0.3,1.05,125.1,122.7,0.2,1.95,0,0,0,0.0,,,,,,0,,,0,0,608.4,,0.5,77.6,127.5
33,Réparation et installation de machines et d'équipements,162.5,0,0,0,0.0,,,11.9,,,,,,0,0,0,0.0,1.4,1.5,1.8,1307.1,,,,,,,1.8,,11509.3,11431.3,13,1.13,,,,,19.8,1.4,68.9,,,0,,,0,0,925.5,,32.9,131.4,142
38,"Collecte, traitement et élimination des déchets ; récupération",149.1,0,0,0,0.0,,,33.2,,,,,,0,0,0,0.0,2.3,2.6,2.3,992.5,,,,,,,1.3,,,,30.6,,0.1,,0,239.1,301.5,3.7,12.3,0,0,0,0,0.0,0,0,691.4,,236.1,78.0,112.8
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",226.6,0,0,0,0.0,397,397,17.0,42.7,,,,,0,0,0,0.0,0.6,0.6,0.5,901.2,0.3,0.2,0.3,882.4,122.9,144.1,0.2,1.31,80874.3,81059.3,91.6,1.13,,,,,,,,0,0,0,0,0.0,0,0,792.3,,5.5,109.0,137.5
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",4330.9,161.4,159.7,38,235.8,32414.1,32692.5,1984.2,61.2,66,344.4,4.3,64.9,0,0,0,0.0,71.1,70.8,60.1,846.4,3.5,3.5,3.2,918.5,25293.6,24413.2,27.7,1.09,17082,16623.6,20,1.17,406,406,27.2,67,3551.4,132,37.2,0.7,0.7,0,9.8,13148.3,0,0,19798.5,,3420.5,2028.7,102.5
_T,Total,25998.0,7436.9,7356.8,2298,309,123719.6,124199.3,8779.1,71,442.9,,25.2,57,835.5,819.5,269.7,322.8,1589.6,1567.9,1145.2,720.4,138.3,138.3,100.5,727,168631.7,166493.3,167.2,0.99,222677.1,222496.6,251.2,1.13,2769.3,4264.3,95.9,34.6,25642.8,1519,59.2,29.5,111.9,120.3,147.4,4991.8,82.4,38,102178.9,,7876.0,11224.9,109.9
