ID,TEFF,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
_T,Total,8065.7,1035.9,296.3,1118.9,34.2,10550.9,55.6,0.9,5.6,52.4,114.5,37.6,24.2,4.5,17.5,103,186.8,142.1,161.6,0,0.1,303.8
20-49,20 à 49 salariés,499.7,s,0.8,173.3,s,684.5,8.9,0.3,0.3,14.8,24.3,20.1,21,0.1,6.5,40.6,88.4,0,1.6,0,0,1.6
50-99,50 à 99 salariés,867,s,0.1,191,s,1087.5,8.3,0,0.2,13.6,22.2,8.5,s,1.9,3.3,27.3,s,1.2,4.3,0,0.1,5.6
100-249,100 à 249 salariés,2660,605,109.9,312.9,7.1,3694.9,14.3,0.3,2.6,13.4,30.6,7.3,s,1.4,4,22.2,s,12.3,3.6,0,0,15.9
250-499,250 à 499 salariés,2268.1,290.7,89.4,209.8,6.4,2864.5,7.2,0.1,0.7,6.8,14.8,1.1,s,0.1,2.5,6.4,s,123.9,94.8,0,0,218.6
500+,500 salariés et plus,1770.8,111,96.1,231.9,9.8,2219.5,16.9,0.2,1.8,3.8,22.7,0.6,1.8,1.1,1.1,6.5,11.1,4.7,57.4,0,0,62.1
