teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,1213.5,267.3,1480.8,615.3,897.0,24797.3,25694.3,15714.0,2981.4,811.6,2787.2,3400.0,,
20-49,20 à 49 salariés,105.4,68.6,174.0,65.8,108.2,9304.2,9412.4,5129.1,859.3,67.4,1464.0,1893.0,,
250-499,250 à 499 salariés,2205.7,58.9,2264.6,992.5,1272.1,23850.5,25122.6,15061.6,2350.0,2723.3,1669.8,3318.6,,
50-99,50 à 99 salariés,124.4,5.7,130.2,79.8,50.3,12066.6,12116.9,6504.7,1404.7,162.8,1282.6,2761.6,,
500+,500 salariés et plus,1239.7,19.4,1259.1,115.4,1143.7,28516.6,29660.3,15650.0,2140.7,6762.8,2129.1,2976.7,,
_T,Total,4888.8,419.9,5308.7,1868.8,3471.4,98535.2,102006.6,58060.5,9734.9,10527.9,9332.6,14351.2,,
