teff_code,teff_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
100-249,100 à 249 salariés,,500.5,511.1,73.8,147.4,44986.7,44986.7,931.9,20.7,,,,,293.0,290.9,27.8,95,64.6,64.4,36.8,570.1,27.0,33.1,13.5,502.1,66851.4,67075.7,41.9,0.6,,,,,659.7,1254.8,31.8,48.1,15345.4,146.1,19.0,,,14689.4,,15.2,,,24797.3,25694.3,1480.8,1681.6,67.8
20-49,20 à 49 salariés,,138.5,144.8,18.5,133.6,6916.9,6916.9,231.4,33.5,,,,,52.2,55.1,,,44.4,44.7,31.4,706.1,13.0,13.2,8.9,679.9,100307.1,99605.0,63.1,0.6,,,,,80.8,129.4,,,414.2,6.1,29.6,,169.8,0.0,,0.2,,,9304.2,9412.4,174.0,826.1,88.8
250-499,250 à 499 salariés,,564.8,565.3,265.6,470.2,38533.3,38533.3,722.4,18.7,,,,,31.4,30.6,,,823.2,838.1,297.9,361.8,72.7,73.4,27.4,377.2,33232.1,33240.4,20.2,0.6,,,,,691.4,1203.7,,,16612.0,157.0,18.9,,,373627.1,,18.6,,,23850.5,25122.6,2264.6,1381.7,57.9
50-99,50 à 99 salariés,,349.1,349.7,35.4,101.3,12530.1,12530.1,327.5,26.1,,,,,249.1,245.1,23.5,94.2,25.7,25.4,17.5,681.5,28.9,29.4,14.8,511.2,70742.2,70898.8,43.0,0.6,,,,,429.9,549.0,18.7,43.5,5502.8,56.7,20.6,,11825.6,4431.9,,3.3,,,12066.6,12116.9,130.2,870.7,72.2
500+,500 salariés et plus,,5586.0,5828.3,671.7,120.2,26223.4,26223.4,499.1,19.0,,,,,154.9,153.0,36.8,237.6,1065.7,1065.6,301.5,282.9,4.1,4.1,1.9,469.9,21704.8,21953.3,15.1,0.7,,,,,94.3,207.6,5.6,59.3,7391.2,81.3,22.0,,293240.7,257610.2,,8.4,,,28516.6,29660.3,1259.1,1568.6,55.0
_T,Total,,7139.0,7399.2,1065.0,149.2,129190.4,129190.4,2712.3,21.0,,,,,780.7,774.7,106.4,136.3,2023.6,2038.2,685.1,338.5,145.7,153.3,66.5,456.6,292837.7,292773.2,183.2,0.6,,,,,1956.0,3344.6,87.4,44.7,45265.6,447.3,19.8,,848588.7,650358.6,,45.7,,,98535.2,102006.6,5308.7,6328.7,64.2
