reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,971,88,19,188,,,6,0,1,21,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,,,0,97,,,4,1,0,10,,,,,,,,,,,,,
BRE,Bretagne,309,,,65,,,3,0,3,6,,,,,,,,,,,,,
CVL,Centre-Val de Loire,322,1,21,52,,,1,1,1,5,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,,,0,0,,,13,0,0,3,,,,,,,,,,,,,
FRA,France,8076,1064,305,1104,,,75,5,13,156,,,,,,,,,,,,,
GRE,Grand Est,1543,445,36,171,,,13,0,1,27,,,,,,,,,,,,,
HDF,Hauts-de-France,,,173,165,,,10,0,1,17,,,,,,,,,,,,,
IDF,Ile-de-France,,,,67,,,2,0,0,8,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,461,1,17,81,,,6,1,1,20,,,,,,,,,,,,,
NOR,Normandie,806,359,,98,,,3,0,1,8,,,,,,,,,,,,,
OCC,Occitanie,291,1,3,43,,,5,0,1,10,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,623,,,17,,,7,0,1,11,,,,,,,,,,,,,
PAL,Pays de la Loire,369,0,3,60,,,3,0,2,10,,,,,,,,,,,,,
