teff_code,teff_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
100-249,100 à 249 salariés,759,158,917,137,779,27256,28036,17738,4117,918,2343,2921,,
20-49,20 à 49 salariés,16,6,22,14,8,11173,11181,7149,943,227,1618,1245,,
250-499,250 à 499 salariés,2025,99,2124,511,1613,24973,26587,17128,2903,2819,1200,2537,,
50-99,50 à 99 salariés,,,,31,68,14543,14611,10004,1107,1132,1030,1339,,
500+,500 salariés et plus,,,,474,1467,29837,31304,18473,2397,6755,1786,1892,,
_T,Total,4725,387,5112,1168,3935,107783,111718,70492,11465,11851,7976,9934,,
