reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,3675,157.0,1266,,97,31,,28,,1640,17,0,74,,29,54,174,270,,3688,,,3641
BFC,Bourgogne-Franche-Comté,1261,94.0,440,,0,,,15,,580,0,0,76,,,,88,,,1270,,,1179
BRE,Bretagne,1194,3.0,376,,0,,,12,,449,0,,,,,0,46,50,,913,,,898
CVL,Centre-Val de Loire,1105,21.0,395,,36,9,4,8,,471,0,0,41,,9,2,51,7,,855,,,834
DOM,Départements d’Outre-mer,279,0.0,0,,0,1,2,16,,20,,0,,,10,,14,66,,145,,,144
FRA,France,21032,6189.0,10548,,669,2551,,249,,20887,1272,,919,,,,3593,1704,,35792,577,631,34584
GRE,Grand Est,2240,1461.0,2194,,86,19,45,41,,3847,,0,236,,33,,654,173,,6151,,,5995
HDF,Hauts-de-France,2138,209.0,,,126,,58,28,,5161,,0,32,,,,371,174,,7496,,,7286
IDF,Ile-de-France,1844,1.0,574,,12,5,,9,,629,0,0,,,,,4,17,,1096,,,1088
NOA,Nouvelle-Aquitaine,2005,123.0,559,,49,,130,28,,918,7,,,,83,24,797,359,,2764,,,2594
NOR,Normandie,1293,0.0,,,53,,81,12,,2481,549,0,134,,,,716,205,,4146,,,4095
OCC,Occitanie,1370,76.0,338,,48,,15,16,,505,,,,,,36,269,,,1202,,,1191
PAC,Provence-Alpes-Côte d'Azur,827,48.0,,,111,1183,89,19,,3641,119,,,,21,11,318,185,,4867,,,4461
PAL,Pays de la Loire,1800,8.0,433,,51,18,,15,,546,0,0,33,,,,90,63,,1199,,,1177
