naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,0,0,0,0,0,1073,1073,790,105,1,97,80,,
14,Industrie de l'habillement,0,2,2,1,1,126,127,79,5,2,32,9,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,129,129,89,8,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",79,1,80,79,1,,,1650,27,,75,33,,
17,Industrie du papier et du carton,1191,117,1308,309,1000,7703,8703,8193,145,6,220,138,,
18,Imprimerie et reproduction d'enregistrements,2,0,2,0,2,1090,1091,821,62,11,134,63,,
20,Industrie chimique,1010,83,1093,482,611,18769,19381,13193,873,3789,423,1103,,
21,Industrie pharmaceutique,,,,,,,2779,1649,128,5,327,670,,
22,Fabrication de produits en caoutchouc et en plastique,77,1,78,,,,6666,4309,990,53,475,840,,
23,Fabrication d'autres produits minéraux non métalliques,,7,7.0,6,,,8217,5547,1378,82,837,373,,
24,Métallurgie,545,140,685,9,676,20921,21597,8121,4223,7370,1282,601,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",2,2,4,2,2,4991,4994,3236,532,306,609,311,,
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,,,,2107,808,422,23,517,338,,
27,Fabrication d'équipements électriques,,2,2.0,2,,,1871,1092,334,17,212,216,,
28,Fabrication de machines et équipements n.c.a.,6,0,6,,6,2352,2358,1564,290,34,309,161,,
29,Industrie automobile,,,,26,11,4590,4601,3452,386,82,371,310,,
30,Fabrication d'autres matériels de transport,,,,,,,1845,1022,212,21,327,262,,
31,Fabrication de meubles,0,0,0,0,0,548,549,436,25,4,70,13,,
32,Autres industries manufacturières,0,0,0,0,0,815,815,474,71,4,121,144,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,,,214,55,,175,61,,
38,"Collecte, traitement et élimination des déchets ; récupération",,,,,,,556,476,15,1,45,18,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",3.0,5,8.0,1,7.0,,0.0,706,8,,40.0,15.0,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1738.0,10,1748.0,203,1546.0,17618.0,19187,12571,1169,24,1258.0,4158.0,,
_T,Total,4725,387,5112,1168,3935,107783,111718,70492,11465,11851,7976,9934,,
