REG_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région en 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Bourgogne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,s,s,242,0,0,0,0,0,3,s,0,s,6,s,0,s,s,s,s,0,s,4,s,0,0,0,0,0,0,0,0,0,0,23,0,s,7,s,s,0,0,0,s,0,0,0,0,0,10,so,0,2,12
Nord-Pas-de-Calais,64,s,s,0,s,50,s,s,0,s,50,38,0,0,88,1170,0,78,127,1376,s,s,0,0,112,11,s,s,5,s,27,0,s,s,28,12,0,0,11,24,s,s,0,s,s,0,0,0,0,0,s,0,0,s,s,2,0,0,0,2,s,s,0,s,s,100,so,s,s,106
Lorraine,s,0,s,s,872,65,0,0,0,65,s,s,0,0,134,674,s,s,93,777,s,s,0,0,s,2,s,0,s,s,3,0,0,0,3,s,s,0,9,15,s,0,0,0,s,0,0,0,0,0,65,0,s,s,76,s,0,0,0,s,s,0,0,s,59,47,so,0,4,51
Alsace,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,839,s,s,70,1077,s,s,0,0,s,s,s,0,4,10,s,0,0,s,5,3,0,0,6,9,s,s,0,0,s,0,0,0,0,0,60,0,0,4,65,s,0,0,s,s,s,s,0,s,s,35,so,s,s,41
Franche-Comté,93,0,0,0,93,0,0,0,0,0,11,0,0,0,11,119,s,s,s,190,s,0,0,0,s,s,0,s,6,16,s,0,0,0,s,1,0,1,4,6,s,0,0,s,s,0,0,0,0,0,19,0,0,7,26,s,0,0,s,s,s,0,0,0,s,s,so,s,s,36
Pays de la Loire,s,0,0,0,s,s,0,0,0,s,9,0,0,0,9,382,7,6,80,476,65,0,0,0,65,21,s,s,s,30,25,0,s,s,26,7,0,2,13,22,s,0,0,0,s,0,0,0,0,0,15,0,s,s,30,s,0,s,0,s,s,0,0,s,s,74,so,0,8,82
Bretagne,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,329,s,s,s,367,0,0,0,0,0,23,0,s,s,30,22,s,s,s,23,s,s,6,6,s,s,0,0,s,0,s,0,0,0,s,s,0,0,s,s,s,0,0,s,s,0,0,0,0,0,38,so,0,10,48
Poitou-Charentes,55,0,0,0,55,0,0,0,0,0,0,0,0,0,0,137,s,s,27,182,s,s,0,0,67,11,s,0,s,14,s,0,0,s,36,5,s,s,6,16,s,s,0,s,s,0,0,0,0,0,25,0,0,2,27,s,0,0,0,s,29,0,0,0,29,9,so,0,1,10
Aquitaine,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,214,4,7,43,268,s,0,0,0,s,6,s,0,s,10,s,s,2,s,94,4,0,1,6,12,s,0,0,s,0,s,s,s,0,339,165,0,10,11,186,33,0,0,0,33,6,0,0,0,6,298,so,s,s,310
Midi-Pyrénées,s,s,0,0,s,0,0,0,0,0,s,0,0,0,s,159,s,s,s,206,s,2,0,0,s,10,s,0,s,11,13,s,s,s,13,4,s,s,5,9,s,0,0,0,s,s,s,0,s,s,35,0,s,6,s,s,0,0,0,s,s,0,0,0,s,16,so,s,s,23
Limousin,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,87,0,s,s,97,0,0,0,0,0,4,0,0,2,5,3,0,0,0,3,1,0,0,2,3,0,0,0,0,0,s,0,0,0,s,10,0,0,3,14,s,0,0,0,s,0,0,0,0,0,17,so,s,s,21
Rhône-Alpes,33,88,0,0,121,0,s,0,0,s,s,7,0,0,s,815,s,s,168,1141,76,s,0,s,123,21,s,s,7,30,49,0,s,s,51,6,s,s,22,29,8,s,s,s,11,0,0,0,0,0,69,0,0,9,78,s,0,0,s,28,44,s,0,s,49,243,so,s,s,263
Auvergne,s,0,0,0,s,0,0,0,0,0,s,s,0,0,22,189,s,s,47,254,s,0,0,0,s,6,s,0,s,8,s,0,0,s,10,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,12,0,0,5,17,s,0,0,0,s,s,0,0,0,s,23,so,0,3,25
Languedoc-Roussillon,s,s,0,0,61,0,0,0,0,0,0,0,0,0,0,135,s,s,s,146,s,s,0,0,26,9,0,s,s,10,s,0,s,0,3,3,0,1,6,10,s,0,0,0,s,0,0,0,0,0,s,0,0,s,17,s,0,0,0,s,30,0,0,0,30,s,so,0,s,s
PACA et Corse,0,s,s,0,s,s,0,0,0,s,0,0,0,0,0,698,s,s,32,738,s,0,0,0,s,s,1183,s,1,1186,s,0,s,s,201,10,0,1,7,18,s,0,s,0,127,0,0,s,0,s,s,0,s,0,s,9,0,0,0,9,16,0,0,0,16,224,so,0,1,225
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,7,0,0,0,0,0,s,0,0,0,s,1,0,0,0,1,7,0,0,3,10,s,s,s,s,2,0,0,0,0,0,s,0,0,0,s,12,0,0,0,12,s,s,0,s,s,69,so,0,0,69
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
