year,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d'électricité,Total net de la consommation,ID,NAF,Total combustibles,Autoconsommation d'électricité,REG,TEFF, NAF,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Consommation pour production d'électricité,Combustibles spéciaux nonrenouvelables
2010,,0.0,938,,s,7,10,10,,987,s,0,23,,7,s,136,36,396,1566,6,28,1532,,,1123,10,Alsace,,,,,,,
2010,,0.0,184,,s,7,s,7,,319,0,0,21,,s,s,33,s,s,679,s,s,628,,,352,s,Franche-Comté,,,,,,,
2010,,0.0,222,,s,s,6,20,,336,s,0,41,,18,s,77,63,315,792,s,s,786,,,413,1,Pays de la Loire,,,,,,,
2010,,0.0,103,,0,13,2,10,,129,s,s,6,,0,s,11,11,144,296,0,1,295,,,140,0,Bretagne,,,,,,,
2010,,0.0,171,,s,9,27,15,,346,9,0,22,,27,39,96,s,s,595,s,s,577,,,442,s,Poitou-Charentes,,,,,,,
2010,,0.0,308,,0,13,109,10,,477,s,303,245,,1,s,554,194,335,1598,s,s,1363,,,1031,38,Aquitaine,,,,,,,
2010,,0.0,158,,s,10,11,9,,239,s,s,44,,s,s,190,35,165,654,0,21,633,,,429,24,Midi-Pyrénées,,,,,,,
2010,,0.0,67,,0,2,s,3,,s,0,s,4,,s,s,s,s,s,350,0,8,342,,,250,s,Limousin,,,,,,,
2010,,0.0,1025,,127,23,110,23,,s,49,0,88,,s,36,s,243,1145,3078,s,s,2746,,,1673,17,Rhône-Alpes,,,,,,,
2010,,0.0,199,,s,2,19,7,,270,0,0,10,,s,s,13,s,s,466,s,s,448,,,283,s,Auvergne,,,,,,,
2010,,0.0,135,,40,3,4,10,,262,s,0,s,,2,33,55,s,s,452,s,s,446,,,317,s,Languedoc-Roussillon,,,,,,,
2010,,0.0,581,,148,999,148,18,,3144,254,s,s,,3,18,416,160,548,4331,87,200,4044,,,3560,62,PACA et Corse,,,,,,,
2010,,0.0,8633,,806,1557,748,250,,17549,1369,702,935,,236,369,3612,1439,7716,30568,353,1175,29041,,,21161,252,,Total,,,,,,
2010,,0.0,765,,s,43,32,89,,s,12,s,45,,s,5,s,28,695,1803,s,s,1553,,,1078,2,,20 à 49 employés,,,,,,
2010,,0.0,1070,,217,39,123,50,,1703,254,0,77,,38,137,506,146,914,3276,46,13,3217,,,2209,6,,50 à 99 employés,,,,,,
2010,,0.0,2652,,430,398,130,54,,4049,s,s,261,,75,196,806,387,1752,7019,95,73,6851,,,4855,26,,100 à 249 employés,,,,,,
2010,,0.0,1884,,s,598,245,24,,3174,s,s,543,,94,16,1367,393,1861,6894,75,650,6169,,,4541,99,,250 à 499 employés,,,,,,
2010,,0.0,1306,,s,466,187,10,,2143,s,s,8,,0,15,803,181,1305,4467,27,97,4343,,,2946,34,,500 à 999 employés,,,,,,
2010,,0.0,365,,0,13,30,6,,s,s,0,1,,s,0,s,230,495,1479,s,s,1300,,,725,30,,1 000 à 1 999 employés,,,,,,
2010,,0.0,591,,0,0,1,16,,4806,0,0,0,,0,0,0,74,694,5629,s,s,5607,,,4806,55,,2 000 employés ou plus,,,,,,
2011,,0.0,10880,,771,1602,1010,294,,20093,1330,870,695,,236,390,3521,1465,9325,34707,314,1178,33215,_T,Total,23614,302,,,,,,,,
2011,,0.0,8463,,771,1506,763,252,,16999,1326,870,637,,236,390,3459,1307,7751,29714,270,917,28527,_T_HIAA,Total hors IAA et scieries,20458,198,,,,,,,,
2011,,0.0,0,,0,0,0,3,,3,0,0,0,,0,0,0,0,0,3,0,2,1,07,Extraction de minerais métalliques,3,0,,,,,,,,
