year,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d'électricité,Total net de la consommation,ID,NAF,Total combustibles,Autoconsommation d'électricité,REG,TEFF, NAF,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Consommation pour production d'électricité,Combustibles spéciaux nonrenouvelables
2012,,0.0,236,,s,s,15,8,,311,0,s,s,,5,s,211,23,237,783,nd,nd,766,,,523,,Midi-Pyrénées,,,,,,,
2012,,0.0,76,,0,3,5,3,,s,0,s,s,,s,0,s,40,82,417,nd,nd,410,,,294,,Limousin,,,,,,,
2012,,0.0,1250,,126,30,84,26,,1652,43,0,67,,24,31,164,220,1293,3329,nd,nd,3083,,,1816,,Rhône-Alpes,,,,,,,
2012,,0.0,233,,s,s,30,9,,317,0,0,15,,s,s,19,12,202,550,nd,nd,539,,,337,,Auvergne,,,,,,,
2012,,0.0,134,,25,5,4,8,,237,s,0,s,,s,33,59,4,146,445,nd,nd,442,,,295,,Languedoc-Roussillon,,,,,,,
2012,,0.0,732,,s,1074,157,22,,3245,167,s,s,,9,15,361,203,716,4525,nd,nd,4080,,,3606,,PACA et Corse,,,,,,,
2012,,0.0,9,,0,1,s,11,,s,s,0,s,,s,s,s,80,50,187,nd,nd,185,,,56,,DOM,,,,,,,
2012,,4854,10719,,718,1690,821,276,,19649,1296,852,734,,303,367,3551,1542,9427,34170,488,1001,32681,,,23200,,,Total industrie,,,,,,
2012,,82,816,,27,s,45,98,,1192,30,s,81,,22,s,155,47,997,2390,nd,nd,2157,,,1347,,,20 à 49 employés,,,,,,
2012,,125,1236,,218,50,100,59,,1915,261,0,91,,71,113,536,156,1069,3677,nd,nd,3663,,,2451,,,50 à 99 employés,,,,,,
2012,,409,3324,,345,537,260,59,,5043,174,1,188,,80,215,658,447,2295,8444,nd,nd,8225,,,5702,,,100 à 249 employés,,,,,,
2012,,348,2786,,24,867,331,27,,4483,s,s,347,,127,20,1340,479,2399,8700,nd,nd,7961,,,5823,,,250 à 499 employés,,,,,,
2012,,4,1409,,104,s,41,12,,1772,s,s,s,,s,s,843,285,1394,4293,nd,nd,4149,,,2615,,,500 à 999 employés,,,,,,
2012,,83,379,,0,5,43,7,,s,s,0,s,,s,0,s,97,508,1197,nd,nd,1131,,,592,,,1 000 à 1 999 employés,,,,,,
2012,,3804,768,,0,0,2,14,,s,0,0,s,,s,0,s,32,766,5469,nd,nd,5395,,,4671,,,2 000 employés ou plus,,,,,,
2013,20583.0,0.0,11251,,766,2052,700,266,,20724,1107,804,891,,324,353,3479,1723,9722,35648,552,825,34271,_T,Total industrie,24203,,,,,,,,,
2013,10.0,0.0,0,,0,0,0,0,,0,1,0,0,,0,0,1,0,0,2,ns,ns,1,07,Extraction de minerais métalliques,2,,,,,,,,,
2013,246.0,0.0,51,,0,6,4,70,,131,s,0,8,,0,8,s,s,70,237,ns,ns,237,08,Autres industries extractives,s,,,,,,,,,
2013,2793.0,0.0,2362,,0,85,158,30,,2862,0,0,73,,s,s,101,166,1526,4655,ns,ns,4322,10,Industries alimentaires,2963,,,,,,,,,
2013,304.0,0.0,75,,0,8,2,5,,90,s,0,0,,s,0,13,20,118,240,ns,ns,239,11,Fabrication de boissons,103,,,,,,,,,
2013,6.0,0.0,3,,0,s,0,s,,s,0,0,0,,0,0,0,s,4,7,ns,ns,7,12,Fabrication de produits à base de tabac,s,,,,,,,,,
2013,456.0,0.0,109,,0,4,3,s,,s,s,0,0,,0,0,s,s,100,225,ns,ns,225,13,Fabrication de textiles,s,,,,,,,,,
2013,336.0,0.0,16,,0,s,0,1,,s,0,0,0,,0,0,0,s,13,31,ns,ns,31,14,Industrie de l'habillement,s,,,,,,,,,
2013,233.0,0.0,7,,0,s,0,2,,s,0,0,s,,0,0,s,0,10,26,ns,ns,26,15,Industrie du cuir et de la chaussure,16,,,,,,,,,
2013,729.0,0.0,57,,0,s,1,10,,s,0,s,s,,s,0,318,s,158,565,ns,ns,553,16,"Travail du bois et fabrication d'articles en bois et en liège,  à l'exception des meubles - fabrication d'articles en vannerie et sparterie",s,,,,,,,,,
2013,551.0,0.0,938,,0,7,s,s,,1012,s,s,278,,109,5,1177,416,792,3397,ns,ns,3015,17,Industrie du papier et du carton,2190,,,,,,,,,
2013,705.0,0.0,56,,0,5,0,1,,62,0,0,0,,0,s,s,s,108,176,ns,ns,175,18,Imprimerie et reproduction d'enregistrements,s,,,,,,,,,
2013,904.0,0.0,3304,,s,1792,294,14,,5844,1024,s,68,,51,s,1171,835,1604,9454,ns,ns,8901,20,Industrie chimique,7015,,,,,,,,,
2013,318.0,0.0,177,,0,s,s,s,,s,0,0,0,,0,s,s,98,226,505,ns,ns,501,21,Industrie pharmaceutique,182,,,,,,,,,
2013,1506.0,0.0,213,,0,10,15,7,,244,s,0,s,,0,0,17,75,607,944,ns,ns,925,22,Fabrication de produits en caoutchouc et en plastique,262,,,,,,,,,
2013,990.0,0.0,1525,,627,17,158,32,,2614,67,0,68,,98,322,556,4,677,3850,ns,ns,3848,23,Fabrication d'autres produits minéraux non métalliques,3169,,,,,,,,,
2013,429.0,0.0,1033,,s,15,14,23,,5927,s,0,39,,s,0,40,23,1817,7807,ns,ns,7758,24,Métallurgie,5966,,,,,,,,,
2013,3387.0,0.0,379,,0,44,s,14,,446,0,0,s,,s,1,2,2,438,888,ns,ns,887,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",448,,,,,,,,,
2013,726.0,0.0,51,,0,0,s,s,,52,0,0,0,,0,0,0,1,182,235,ns,ns,235,26,"Fabrication de produits informatiques, électroniques et optiques",52,,,,,,,,,
2013,726.0,0.0,134,,s,6,1,5,,176,0,0,s,,s,s,1,1,177,355,ns,ns,354,27,Fabrication d'équipements électriques,177,,,,,,,,,
2013,1592.0,0.0,194,,0,9,1,10,,213,s,0,1,,0,0,s,s,354,570,ns,ns,568,28,Fabrication de machines et équipements n.c.a.,s,,,,,,,,,
2013,571.0,0.0,315,,0,13,0,s,,340,s,0,s,,0,0,3,18,386,747,ns,ns,742,29,Industrie automobile,343,,,,,,,,,
2013,294.0,0.0,140,,0,3,s,s,,148,0,0,1,,0,0,1,7,171,327,ns,ns,324,30,Fabrication d'autres matériels de transport,149,,,,,,,,,
2013,449.0,0.0,19,,0,12,0,9,,41,0,0,19,,0,0,19,0,44,105,ns,ns,105,31,Fabrication de meubles,60,,,,,,,,,
2013,515.0,0.0,25,,0,1,0,s,,s,0,0,0,,0,0,0,s,52,79,ns,ns,79,32,Autres industries manufacturières,s,,,,,,,,,
2013,1390.0,0.0,28,,0,2,3,2,,35,0,0,0,,0,0,0,2,46,83,ns,ns,83,33,Réparation et installation de machines et d'équipements,35,,,,,,,,,
2013,417.0,0.0,41,,0,1,1,12,,55,0,0,s,,s,0,23,18,41,137,ns,ns,132,38,Récupération,78,,,,,,,,,
2013,20583.0,0.0,11251,,766,2052,700,266,,20724,1107,804,891,,324,353,3479,1723,9722,35648,552,825,34271,,,24203,,Toutes régions,,,,,,,
2013,1799.0,0.0,728,,s,6,4,10,,s,s,0,s,,s,0,s,11,470,1283,ns,ns,1273,,,802,,Ile-de-France,,,,,,,
2013,551.0,0.0,442,,s,11,43,12,,634,s,0,61,,14,s,78,45,288,1045,ns,ns,990,,,712,,Champagne-Ardenne,,,,,,,
2013,811.0,0.0,753,,0,29,53,8,,895,4,0,s,,2,s,10,131,392,1428,ns,ns,1298,,,905,,Picardie,,,,,,,
2013,654.0,0.0,1178,,s,s,57,8,,1755,s,0,88,,71,s,645,208,543,3151,ns,ns,3071,,,2400,,Haute-Normandie,,,,,,,
2013,1091.0,0.0,406,,51,10,23,9,,521,0,0,35,,s,s,41,0,326,887,ns,ns,868,,,562,,Centre,,,,,,,
2013,560.0,0.0,199,,s,12,s,8,,254,s,0,s,,s,0,s,s,181,456,ns,ns,452,,,s,,Basse-Normandie,,,,,,,
2013,635.0,0.0,242,,0,6,s,s,,262,0,0,s,,s,0,35,12,223,531,ns,ns,525,,,297,,Bourgogne,,,,,,,
2013,1265.0,0.0,1376,,112,s,28,24,,4033,s,0,s,,2,s,297,106,1442,5877,ns,ns,5786,,,4330,,Nord-Pas-de-Calais,,,,,,,
2013,768.0,0.0,777,,s,s,3,15,,1903,s,0,76,,s,59,379,51,734,3067,ns,ns,3016,,,2282,,Lorraine,,,,,,,
2013,829.0,0.0,1077,,s,10,5,9,,1125,s,0,65,,s,s,163,41,430,1758,ns,ns,1687,,,1288,,Alsace,,,,,,,
2013,635.0,0.0,190,,s,16,s,6,,322,s,0,26,,s,s,37,36,281,675,ns,ns,666,,,358,,Franche-Comté,,,,,,,
2013,1864.0,0.0,476,,65,30,26,22,,630,s,0,30,,s,s,92,82,518,1322,ns,ns,1295,,,722,,Pays de la Loire,,,,,,,
2013,1265.0,0.0,367,,0,30,23,s,,448,0,s,s,,s,0,55,48,369,920,ns,ns,909,,,502,,Bretagne,,,,,,,
2013,651.0,0.0,182,,67,14,36,16,,371,s,0,27,,s,29,85,10,185,651,ns,ns,628,,,456,,Poitou-Charentes,,,,,,,
2013,831.0,0.0,268,,s,10,94,12,,432,0,339,186,,33,6,564,310,434,1740,ns,ns,1600,,,996,,Aquitaine,,,,,,,
2013,856.0,0.0,206,,s,11,13,9,,281,s,s,s,,s,s,202,23,234,740,ns,ns,728,,,483,,Midi-Pyrénées,,,,,,,
2013,349.0,0.0,97,,0,5,3,3,,s,0,s,14,,s,0,s,21,78,417,ns,ns,414,,,318,,Limousin,,,,,,,
2013,3073.0,0.0,1141,,123,30,51,29,,1504,11,0,78,,28,49,166,263,1297,3230,ns,ns,3053,,,1670,,Rhône-Alpes,,,,,,,
2013,497.0,0.0,254,,s,8,10,5,,311,0,0,17,,s,s,23,25,221,581,ns,ns,571,,,334,,Auvergne,,,,,,,
2013,514.0,0.0,146,,26,10,3,10,,256,s,0,17,,s,30,s,s,150,461,ns,ns,458,,,s,,Languedoc-Roussillon,,,,,,,
2013,854.0,0.0,738,,s,1186,201,18,,3854,127,s,s,,9,16,314,225,891,5284,ns,ns,4841,,,4168,,PACA et Corse,,,,,,,
2013,231.0,0.0,7,,0,s,1,10,,s,2,0,s,,12,s,s,69,36,144,ns,ns,142,,,39,,DOM,,,,,,,
2013,20583.0,0.0,11251,,766,2052,700,266,,20724,1107,804,891,,324,353,3479,1723,9722,35648,552,825,34271,,,24203,,,Total industrie,,,,,,
2013,11552.0,0.0,807,,37,92,97,96,,1161,18,s,94,,24,s,163,83,1088,2495,ns,ns,2351,,,1324,,,20 à 49 employés,,,,,,
2013,4204.0,0.0,1196,,201,50,47,58,,1756,142,0,107,,72,127,448,138,1167,3510,ns,ns,3485,,,2204,,,50 à 99 employés,,,,,,
2013,3281.0,0.0,3514,,420,91,s,56,,4751,s,s,296,,s,202,802,483,2396,8432,ns,ns,8266,,,5552,,,100 à 249 employés,,,,,,
2013,1031.0,0.0,3121,,21,855,298,26,,4741,s,s,354,,140,10,1302,624,2325,8992,ns,ns,8200,,,6043,,,250 à 499 employés,,,,,,
2013,356.0,0.0,1449,,88,957,39,11,,2580,713,s,24,,s,s,745,302,1475,5102,ns,ns,4990,,,3325,,,500 à 999 employés,,,,,,
2013,115.0,0.0,405,,0,s,s,7,,624,s,0,s,,0,0,14,74,522,1234,ns,ns,1213,,,638,,,1 000 à 1 999 employés,,,,,,
2013,44.0,0.0,760,,0,s,s,11,,5112,s,0,s,,s,0,4,19,747,5882,ns,ns,5765,,,5116,,,2 000 employés ou plus,,,,,,
2014,20876.0,0.0,10719,,740,2632,s,252,,20629,1261,s,855,,s,495,3663,1584,9521,35397,483,711,34202,_T,Total industrie,24292,,,,,,,,,
2014,10.0,0.0,0,,0,0,s,1,,s,s,0,0,,0,0,s,0,0,2,ns,ns,1,07,Extraction de minerais métalliques,1,,,,,,,,,
2014,235.0,0.0,51,,0,3,3,64,,121,6,0,s,,0,s,17,s,62,208,ns,ns,208,08,Autres industries extractives,138,,,,,,,,,
2014,2856.0,0.0,2322,,s,77,101,28,,2707,0,0,69,,13,0,82,146,1448,4383,ns,ns,4080,10,Industries alimentaires,2789,,,,,,,,,
2014,359.0,0.0,100,,0,10,1,4,,115,0,0,8,,18,0,26,22,135,298,ns,ns,298,11,Fabrication de boissons,141,,,,,,,,,
2014,7.0,0.0,2,,0,0,0,0,,2,0,0,0,,0,0,0,0,3,6,ns,ns,6,12,Fabrication de produits à base de tabac,2,,,,,,,,,
2014,493.0,0.0,95,,0,4,s,2,,s,s,0,0,,0,0,s,s,94,203,ns,ns,203,13,Fabrication de textiles,103,,,,,,,,,
2014,369.0,0.0,13,,0,6,0,1,,20,0,0,0,,0,0,0,0,12,32,ns,ns,32,14,Industrie de l'habillement,20,,,,,,,,,
2014,242.0,0.0,6,,0,1,0,1,,9,0,0,0,,0,0,0,0,10,18,ns,ns,18,15,Industrie du cuir et de la chaussure,9,,,,,,,,,
2014,723.0,0.0,50,,0,4,1,12,,67,0,s,259,,s,0,263,9,150,489,ns,ns,477,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",330,,,,,,,,,
2014,569.0,0.0,910,,0,s,s,5,,983,s,757,298,,61,s,1121,412,752,3268,ns,ns,2893,17,Industrie du papier et du carton,2104,,,,,,,,,
2014,636.0,0.0,41,,0,2,0,2,,45,0,0,0,,0,3,3,s,98,147,ns,ns,147,18,Imprimerie et reproduction d'enregistrements,49,,,,,,,,,
2014,927.0,0.0,3047,,s,2414,225,14,,6165,1178,s,73,,s,9,1346,764,1642,9917,ns,ns,9505,20,Industrie chimique,7511,,,,,,,,,
2014,321.0,0.0,168,,0,s,s,1,,170,0,0,0,,0,0,0,78,222,470,ns,ns,466,21,Industrie pharmaceutique,170,,,,,,,,,
2014,1539.0,0.0,223,,0,13,8,6,,249,0,0,16,,0,0,16,61,609,935,ns,ns,914,22,Fabrication de produits en caoutchouc et en plastique,265,,,,,,,,,
2014,970.0,0.0,1501,,641,s,117,31,,2549,75,0,68,,95,334,571,13,699,3832,ns,ns,3830,23,Fabrication d'autres produits minéraux non métalliques,3120,,,,,,,,,
2014,469.0,0.0,1063,,s,11,8,21,,6026,1,0,s,,s,s,31,25,1766,7848,ns,ns,7797,24,Métallurgie,6057,,,,,,,,,
2014,3691.0,0.0,341,,0,31,s,10,,390,0,0,1,,0,139,140,4,464,999,ns,ns,998,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",530,,,,,,,,,
2014,715.0,0.0,43,,0,1,0,1,,45,0,0,0,,0,0,0,0,188,233,ns,ns,233,26,"Fabrication de produits informatiques, électroniques et optiques",45,,,,,,,,,
2014,780.0,0.0,112,,0,8,s,4,,139,s,0,s,,s,s,1,1,183,323,ns,ns,323,27,Fabrication d'équipements électriques,139,,,,,,,,,
2014,1607.0,0.0,143,,0,8,1,11,,163,0,0,1,,0,0,2,0,216,380,ns,ns,379,28,Fabrication de machines et équipements n.c.a.,164,,,,,,,,,
2014,621.0,0.0,258,,0,10,s,4,,283,1,0,2,,0,0,3,14,386,685,ns,ns,682,29,Industrie automobile,285,,,,,,,,,
2014,351.0,0.0,102,,0,3,1,4,,110,0,0,s,,0,s,6,6,179,300,ns,ns,299,30,Fabrication d'autres matériels de transport,115,,,,,,,,,
2014,419.0,0.0,15,,0,2,0,7,,25,0,0,20,,0,0,20,0,39,83,ns,ns,83,31,Fabrication de meubles,44,,,,,,,,,
2014,471.0,0.0,29,,0,1,0,0,,31,0,0,0,,0,0,0,0,66,97,ns,ns,97,32,Autres industries manufacturières,31,,,,,,,,,
2014,1094.0,0.0,19,,0,0,0,1,,21,0,0,0,,0,0,0,2,49,72,ns,ns,72,33,Réparation et installation de machines et d'équipements,21,,,,,,,,,
2014,405.0,0.0,64,,0,1,9,17,,91,0,0,0,,17,0,17,11,49,168,ns,ns,163,38,Récupération,108,,,,,,,,,
2014,20876.0,0.0,10719,,740,2632,s,252,,20629,1261,s,855,,s,495,3663,1584,9521,35397,483,711,34202,,,24292,,Toutes régions,,,,,,,
2014,1708.0,0.0,627,,15,7,1,10,,688,0,0,s,,s,138,142,3,454,1287,ns,ns,1279,,,830,,Île-de-France,,,,,,,
2014,630.0,0.0,461,,s,9,6,14,,661,1,0,69,,s,s,89,s,295,1090,ns,ns,1039,,,750,,Champagne-Ardenne,,,,,,,
2014,699.0,0.0,661,,s,29,48,8,,777,6,0,2,,1,1,9,111,389,1286,ns,ns,1192,,,786,,Picardie,,,,,,,
2014,737.0,0.0,s,,s,s,48,7,,2114,509,0,s,,s,31,681,213,562,3570,ns,ns,3456,,,2795,,Haute-Normandie,,,,,,,
2014,1129.0,0.0,359,,50,8,6,9,,455,0,0,32,,6,2,40,1,314,810,ns,ns,794,,,495,,Centre,,,,,,,
2014,600.0,0.0,209,,s,s,8,9,,268,s,0,17,,s,s,24,4,184,479,ns,ns,466,,,292,,Basse-Normandie,,,,,,,
2014,660.0,0.0,269,,0,s,s,7,,286,0,0,32,,0,0,32,7,238,563,ns,ns,558,,,318,,Bourgogne,,,,,,,
2014,1316.0,0.0,s,,115,s,11,20,,4064,s,0,s,,4,s,344,82,1443,5934,ns,ns,5844,,,4408,,Nord-Pas-de-Calais,,,,,,,
2014,837.0,0.0,745,,s,5,2,14,,1816,s,0,s,,18,s,358,53,714,2941,ns,ns,2902,,,2174,,Lorraine,,,,,,,
2014,748.0,0.0,1078,,19,9,5,11,,1125,s,0,s,,6,s,190,49,440,1803,ns,ns,1716,,,1315,,Alsace,,,,,,,
2014,672.0,0.0,203,,s,17,5,7,,348,s,0,18,,s,s,31,s,288,675,ns,ns,675,,,379,,Franche-Comté,,,,,,,
2014,1798.0,0.0,462,,57,26,s,18,,591,s,0,s,,19,s,89,82,512,1274,ns,ns,1253,,,680,,Pays de la Loire,,,,,,,
2014,1111.0,0.0,403,,0,s,24,15,,478,s,s,s,,s,0,41,36,363,918,ns,ns,910,,,519,,Bretagne,,,,,,,
2014,658.0,0.0,170,,56,15,26,15,,327,6,0,30,,21,30,87,9,179,601,ns,ns,582,,,413,,Poitou-Charentes,,,,,,,
2014,994.0,0.0,282,,s,s,92,9,,434,0,318,153,,s,s,510,313,417,1675,ns,ns,1534,,,945,,Aquitaine,,,,,,,
2014,899.0,0.0,189,,s,s,14,9,,260,0,s,s,,s,s,200,25,248,733,ns,ns,717,,,460,,Midi-Pyrénées,,,,,,,
2014,393.0,0.0,100,,0,s,s,2,,119,0,189,s,,s,0,201,11,92,423,ns,ns,422,,,319,,Limousin,,,,,,,
2014,3206.0,0.0,1012,,109,36,45,27,,1350,15,0,52,,29,47,144,232,1225,2951,ns,ns,2925,,,1494,,Rhône-Alpes,,,,,,,
2014,538.0,0.0,241,,s,9,6,6,,293,0,0,14,,s,s,31,16,216,556,ns,ns,547,,,324,,Auvergne,,,,,,,
2014,444.0,0.0,144,,24,4,3,8,,250,s,0,21,,s,38,73,s,155,487,ns,ns,477,,,323,,Languedoc-Roussillon,,,,,,,
2014,825.0,0.0,s,,108,1289,143,17,,3912,137,s,s,,11,s,337,208,757,5213,ns,ns,4787,,,4249,,PACA et Corse,,,,,,,
2014,275.0,0.0,1,,0,1,1,10,,12,s,0,s,,9,1,11,68,38,129,ns,ns,128,,,24,,DOM,,,,,,,
2014,20876.0,5609,10719,,740,2632,s,252,,20629,1261,s,855,,s,495,3663,1584,9521,35397,483,711,34202,,,24292,,,Total industrie,,,,,,
2014,11695.0,32,882,,s,72,84,103,,1253,18,24,68,,29,141,279,47,1027,2606,ns,ns,2580,,,1532,,,20 à 49 employés,,,,,,
2014,4294.0,188,1104,,199,109,50,55,,1792,s,0,96,,s,131,479,129,1194,3594,ns,ns,3565,,,2271,,,50 à 99 employés,,,,,,
2014,3311.0,388,3330,,s,75,111,s,,4366,28,s,302,,s,210,687,446,2381,7879,ns,ns,7733,,,5052,,,100 à 249 employés,,,,,,
2014,1054.0,423,2946,,s,998,217,s,,4657,s,696,343,,s,10,1376,617,2348,8998,ns,ns,8238,,,6033,,,250 à 499 employés,,,,,,
2014,521.0,4578,2457,,s,1377,s,s,,8561,786,s,48,,s,4,843,345,2570,12319,ns,ns,12085,,,9404,,,500 employés ou plus,,,,,,
2015,21032.0,0.0,10548,,669,2551,s,249,,20887,1272,s,919,,s,s,3593,1704,9608,35792,577,631,34584,_T,Total industrie,24480,,,,,,,,,
2015,7.0,0.0,0,,0,0,0,s,,s,s,0,0,,0,0,s,0,0,1,ns,ns,1,07,Extraction de minerais métalliques,1,,,,,,,,,
2015,226.0,0.0,38,,0,2,s,s,,103,16,0,s,,s,s,28,s,67,207,ns,ns,206,08 - 09,Industries extractives,131,,,,,,,,,
2015,2832.0,0.0,2346,,s,59,137,s,,2896,0,0,97,,s,s,148,204,1506,4755,ns,ns,4446,10,Industries alimentaires,3044,,,,,,,,,
2015,332.0,0.0,95,,0,9,2,5,,111,0,0,7,,11,0,18,10,142,281,ns,ns,281,11,Fabrication de boissons,129,,,,,,,,,
2015,4.0,0.0,3,,0,s,0,s,,3,0,0,0,,0,0,0,0,2,5,ns,ns,5,12,Fabrication de produits à base de tabac,3,,,,,,,,,
2015,474.0,0.0,102,,0,3,2,3,,111,0,0,0,,0,0,0,0,92,203,ns,ns,203,13,Fabrication de textiles,111,,,,,,,,,
2015,313.0,0.0,12,,0,1,0,1,,14,0,0,0,,0,0,0,0,11,25,ns,ns,25,14,Industrie de l'habillement,14,,,,,,,,,
2015,249.0,0.0,7,,0,1,1,1,,9,0,0,0,,0,0,0,0,11,21,ns,ns,21,15,Industrie du cuir et de la chaussure,10,,,,,,,,,
2015,726.0,0.0,53,,0,4,1,13,,70,0,s,s,,0,0,308,s,154,540,ns,ns,525,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",378,,,,,,,,,
2015,574.0,0.0,852,,0,6,38,5,,923,0,s,311,,s,2,1115,378,748,3163,ns,ns,2806,17,Industrie du papier et du carton,2037,,,,,,,,,
2015,642.0,0.0,47,,0,s,0,s,,s,1,0,0,,s,s,s,s,94,149,ns,ns,148,18,Imprimerie et reproduction d'enregistrements,s,,,,,,,,,
2015,905.0,0.0,2975,,s,2369,182,s,,6058,1176,s,s,,s,6,1322,863,1667,9909,ns,ns,9480,20,Industrie chimique,7379,,,,,,,,,
2015,309.0,0.0,168,,0,1,s,1,,s,0,0,0,,0,s,s,98,239,507,ns,ns,503,21,Industrie pharmaceutique,170,,,,,,,,,
2015,1458.0,0.0,217,,0,10,8,5,,240,0,0,18,,0,0,18,59,573,891,ns,ns,863,22,Fabrication de produits en caoutchouc et en plastique,258,,,,,,,,,
2015,951.0,0.0,1377,,555,12,148,25,,2367,75,0,s,,s,332,571,19,707,3663,ns,ns,3662,23,Fabrication d'autres produits minéraux non métalliques,2937,,,,,,,,,
2015,459.0,0.0,1073,,s,9,s,s,,s,s,0,s,,s,0,s,22,1857,8328,ns,ns,8279,24,Métallurgie,6449,,,,,,,,,
2015,3525.0,0.0,327,,0,31,2,s,,378,0,0,1,,0,0,1,1,429,810,ns,ns,809,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",379,,,,,,,,,
2015,844.0,0.0,45,,0,1,0,2,,48,s,0,0,,s,0,0,1,181,230,ns,ns,230,26,"Fabrication de produits informatiques, électroniques et optiques",48,,,,,,,,,
2015,748.0,0.0,105,,0,3,0,s,,s,s,0,s,,0,0,s,0,161,284,ns,ns,283,27,Fabrication d'équipements électriques,122,,,,,,,,,
2015,1632.0,0.0,138,,0,8,1,9,,155,0,0,1,,0,0,1,0,203,359,ns,ns,358,28,Fabrication de machines et équipements n.c.a.,157,,,,,,,,,
2015,586.0,0.0,285,,0,9,0,s,,302,s,0,s,,0,0,3,11,396,712,ns,ns,708,29,Industrie automobile,305,,,,,,,,,
2015,333.0,0.0,100,,0,4,1,2,,107,s,0,s,,0,0,6,5,159,277,ns,ns,276,30,Fabrication d'autres matériels de transport,113,,,,,,,,,
2015,390.0,0.0,23,,0,2,s,3,,s,s,0,s,,0,0,s,0,47,92,ns,ns,92,31,Fabrication de meubles,45,,,,,,,,,
2015,621.0,0.0,33,,0,1,s,1,,s,0,0,0,,0,0,0,s,70,104,ns,ns,104,32,Autres industries manufacturières,s,,,,,,,,,
2015,1495.0,0.0,60,,0,2,0,7,,69,0,0,0,,0,0,0,s,44,114,ns,ns,114,33,Réparation et installation de machines et d'équipements,69,,,,,,,,,
2015,396.0,0.0,70,,s,3,s,14,,90,s,0,s,,11,0,11,11,48,161,ns,ns,157,38,Récupération,101,,,,,,,,,
2015,21032.0,0.0,10548,,669,2551,s,249,,20887,1272,s,919,,s,s,3593,1704,9608,35792,577,631,34584,,,24480,,Toutes régions,,,,,,,
2015,1844.0,0.0,574,,12,5,s,9,,629,0,0,s,,s,s,4,17,445,1096,ns,ns,1088,,,633,,Île-de-France,,,,,,,
2015,1105.0,0.0,395,,36,9,4,8,,471,0,0,41,,9,2,51,7,326,855,ns,ns,834,,,522,,Centre-Val de Loire,,,,,,,
2015,1261.0,0.0,440,,0,s,s,15,,580,0,0,76,,s,s,88,s,489,1270,ns,ns,1179,,,668,,Bourgogne-Franche-Comté,,,,,,,
2015,1293.0,0.0,s,,53,s,81,12,,2481,549,0,134,,s,s,716,205,743,4146,ns,ns,4095,,,3197,,Normandie,,,,,,,
2015,2138.0,0.0,s,,126,s,58,28,,5161,s,0,32,,s,s,371,174,1790,7496,ns,ns,7286,,,5532,,Hauts-de-France,,,,,,,
2015,2240.0,0.0,2194,,86,19,45,41,,3847,s,0,236,,33,s,654,173,1477,6151,ns,ns,5995,,,4501,,Grand Est,,,,,,,
2015,1800.0,0.0,433,,51,18,s,15,,546,0,0,33,,s,s,90,63,501,1199,ns,ns,1177,,,635,,Pays de la Loire,,,,,,,
2015,1194.0,0.0,376,,0,s,s,12,,449,0,s,s,,s,0,46,50,369,913,ns,ns,898,,,494,,Bretagne,,,,,,,
2015,2005.0,0.0,559,,49,s,130,28,,918,7,s,s,,83,24,797,359,690,2764,ns,ns,2594,,,1715,,Nouvelle-Aquitaine,,,,,,,
2015,1370.0,0.0,338,,48,s,15,16,,505,s,s,s,,s,36,269,s,406,1202,ns,ns,1191,,,774,,Occitanie,,,,,,,
2015,3675.0,0.0,1266,,97,31,s,28,,1640,17,0,74,,29,54,174,270,1604,3688,ns,ns,3641,,,1815,,Auvergne-Rhône-Alpes,,,,,,,
2015,827.0,0.0,s,,111,1183,89,19,,3641,119,s,s,,21,11,318,185,723,4867,ns,ns,4461,,,3958,,Provence-Alpes-Côte d'Azur et Corse,,,,,,,
2015,279.0,0.0,0,,0,1,2,16,,20,s,0,s,,10,s,14,66,44,145,ns,ns,144,,,34,,Dom,,,,,,,
2015,21032.0,423,10548,,669,2551,s,249,,20887,1272,s,919,,s,s,3593,1704,9608,35792,577,631,34584,,,24480,,,Total industrie,,,,,,
2015,12000.0,6,713,,s,54,82,98,,1045,26,s,80,,28,s,153,69,962,2229,ns,ns,2225,,,1198,,,20 à 49 salariés,,,,,,
2015,4262.0,68,1090,,165,42,48,46,,1625,s,0,125,,s,113,504,138,1257,3523,ns,ns,3502,,,2129,,,50 à 99 salariés,,,,,,
