naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,,,,,,,1048,780,89,0,102,76,,
14,Industrie de l'habillement,0,0,0,0,0,109,109,83,1,0,24,1,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,124,124,75,8,0,27,14,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",129,2,131,131,0,2007,2007,1769,39,1,150,48,,
17,Industrie du papier et du carton,1312,39,1351,512,839,7561,8399,7892,70,5,278,154,,
18,Imprimerie et reproduction d'enregistrements,1,0,1,0,1,1182,1183,,36,,158,75,,
20,Industrie chimique,1140,69,1209,482,727,18584,19312,11449,473,3547,450,3392,,
21,Industrie pharmaceutique,,,,0,23,2382,2404,1258,153,2,344,648,,
22,Fabrication de produits en caoutchouc et en plastique,,,,,,,6513,4172,932,19,503,886,,
23,Fabrication d'autres produits minéraux non métalliques,6,10,16,0,16,8313,8330,5838,1521,,,228,,
24,Métallurgie,203,103,306,8,298,21358,21656,8172,3617,8815,549,503,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",0,301,301,301,0,5031,5031,3365,593,215,651,206,,
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,2174,2174,849,120,25,645,535,,
27,Fabrication d'équipements électriques,1,0,1,0,1,,,1032,,9,300,250,,
28,Fabrication de machines et équipements n.c.a.,1,0,1,0,1,,,,266,7,326,222,,
29,Industrie automobile,,,,25,32,4862,4894,3203,390,146,500,656,,
30,Fabrication d'autres matériels de transport,,,,22,2,1916,1919,884,230,21,421,362,,
31,Fabrication de meubles,0,,0.0,,0,405,405,319,9,0,55,21,,
32,Autres industries manufacturières,,0,0.0,0,,,,362,104,3,90,,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,755,755,354,,,232,122,,
38,"Collecte, traitement et élimination des déchets ; récupération",,0,0.0,,0,530,530,418,45,2,49,17,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",12.0,0.0,12.0,0.0,12.0,,,613.0,1.0,4.0,,3.0,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1699,7,1706,380.0,1321.0,17271.0,20761,13197,1189,26.0,1687,4169.0,,
_T,Total,4669,582,5251,1903,3349,109718,113067,68341,10308,12936,8239,13239,,
